iter	RMSEWithUncertainty
0	1.572233429
1	1.539595787
2	1.508811891
3	1.478324247
4	1.449785427
5	1.422133224
6	1.39490547
7	1.371396821
8	1.348936278
9	1.324707891
10	1.301504948
11	1.280247401
12	1.261391186
13	1.240295318
14	1.220263305
15	1.203185019
16	1.186481846
17	1.166979153
18	1.148549231
19	1.13024294
20	1.113036548
21	1.09723119
22	1.080720691
23	1.065668708
24	1.050356252
25	1.035657717
26	1.021769274
27	1.008464966
28	0.9946899323
29	0.9810757176
30	0.9681160604
31	0.9551288527
32	0.9423387918
33	0.9299273228
34	0.9179068333
35	0.906029224
36	0.8946775885
37	0.8832606598
38	0.8726892475
39	0.862694615
40	0.8519054849
41	0.8418357554
42	0.8316842786
43	0.8216873866
44	0.8113425837
45	0.8023428504
46	0.7937960709
47	0.7849042847
48	0.7758661814
49	0.7672164143
50	0.7581084079
51	0.7506395033
52	0.7424476018
53	0.7335243775
54	0.7265753063
55	0.7169952506
56	0.7104074529
57	0.7023545745
58	0.6953965931
59	0.6877593967
60	0.6805043473
61	0.6732105476
62	0.6670937692
63	0.6602577963
64	0.6526194513
65	0.645666924
66	0.6379191178
67	0.6317330783
68	0.6258327802
69	0.6197148736
70	0.6142746219
71	0.6075395541
72	0.6011150075
73	0.5956203778
74	0.5907007371
75	0.5854384971
76	0.5806742438
77	0.5754402292
78	0.5703144123
79	0.5667701309
80	0.561213037
81	0.5554125766
82	0.5497790542
83	0.5446740623
84	0.5411864245
85	0.5370620158
86	0.5326712277
87	0.5283716455
88	0.5265679419
89	0.5220196196
90	0.5190322704
91	0.5154236141
92	0.5106145312
93	0.5039514281
94	0.4998139042
95	0.4937556546
96	0.4877839499
97	0.4830267566
98	0.4780227196
99	0.4739155077
100	0.4699013177
101	0.4655421807
102	0.4615370048
103	0.4579356883
104	0.4524602298
105	0.4491507625
106	0.4439000848
107	0.4393616278
108	0.4355551068
109	0.4312259084
110	0.4269182186
111	0.4239863302
112	0.4205502288
113	0.4169551754
114	0.4145531855
115	0.411289571
116	0.4089214658
117	0.4065706589
118	0.4027798803
119	0.4003248825
120	0.3978047483
121	0.3957046919
122	0.3947358181
123	0.391918673
124	0.3891963185
125	0.3865055059
126	0.3845351048
127	0.3839410117
128	0.3812056243
129	0.3788192598
130	0.3760292438
131	0.3728774982
132	0.3714861307
133	0.369595461
134	0.3677055226
135	0.3653837781
136	0.3638954279
137	0.3622925648
138	0.3592184945
139	0.3576667528
140	0.3560461453
141	0.3539902948
142	0.3525603831
143	0.3509823673
144	0.3487553509
145	0.3471734145
146	0.3454652753
147	0.3433922651
148	0.3418333825
149	0.3405272916
150	0.3386260254
151	0.3373935302
152	0.3358304292
153	0.3356079557
154	0.3348260173
155	0.3334395564
156	0.331020679
157	0.3296918921
158	0.328434817
159	0.3277581061
160	0.3252634861
161	0.3237315231
162	0.3231873549
163	0.3229859537
164	0.3214622841
165	0.3195015106
166	0.3188853584
167	0.3179255713
168	0.3170882781
169	0.31607383
170	0.315212678
171	0.3137067879
172	0.312655234
173	0.3120322251
174	0.3110572214
175	0.3109373051
176	0.3105045852
177	0.3098673191
178	0.3080783308
179	0.3065431527
180	0.3055336798
181	0.3035807168
182	0.3031183672
183	0.3019094798
184	0.3010584759
185	0.2996465803
186	0.2983968128
187	0.2975329266
188	0.2960330352
189	0.2951152463
190	0.2946428222
191	0.2933737436
192	0.2921941774
193	0.2912770025
194	0.2906064317
195	0.2902690982
196	0.2897768056
197	0.289335335
198	0.2882914958
199	0.2870559951
200	0.2864214051
201	0.2854895346
202	0.2845942626
203	0.28363532
204	0.2828520712
205	0.2817508382
206	0.2814602626
207	0.2793285792
208	0.2784125743
209	0.277900406
210	0.2776686219
211	0.2770109436
212	0.2765217236
213	0.2760980204
214	0.2743835736
215	0.2735100501
216	0.2720240379
217	0.2709243625
218	0.2694581242
219	0.2687557239
220	0.2679981596
221	0.2666062221
222	0.2648335072
223	0.2639853775
224	0.2625544047
225	0.2612560032
226	0.2606178103
227	0.2589881327
228	0.258073978
229	0.2572715163
230	0.2552389872
231	0.2543907995
232	0.253864187
233	0.2530534249
234	0.2523934991
235	0.2515271833
236	0.2510262874
237	0.2504826133
238	0.2498708177
239	0.248724881
240	0.247748359
241	0.2473888447
242	0.2461539184
243	0.2451806643
244	0.2441019733
245	0.2436945873
246	0.2427020664
247	0.2422168545
248	0.2417975638
249	0.2411046214
250	0.2394399892
251	0.238585344
252	0.2385522795
253	0.238031664
254	0.2374116924
255	0.2368809332
256	0.2361938226
257	0.2357966715
258	0.234730008
259	0.2341281774
260	0.2335104755
261	0.2326278102
262	0.2318781883
263	0.2312236125
264	0.230610714
265	0.2296212074
266	0.2289222801
267	0.2285973172
268	0.2281902168
269	0.2273416003
270	0.2260268276
271	0.225558895
272	0.2252200202
273	0.2243374698
274	0.2230726615
275	0.2225168296
276	0.2214157086
277	0.2209873283
278	0.2203810153
279	0.2199355252
280	0.2195349051
281	0.2190675387
282	0.2184335068
283	0.2178597229
284	0.2176480072
285	0.2172574643
286	0.2164853113
287	0.2158384549
288	0.2153522983
289	0.2149398618
290	0.2145321977
291	0.2131525236
292	0.212426407
293	0.211871423
294	0.2113978305
295	0.2109776953
296	0.2107674919
297	0.2104274954
298	0.2098354003
299	0.209152253
300	0.2087665751
301	0.2084573946
302	0.2072043464
303	0.206179435
304	0.2055240313
305	0.2046115834
306	0.204011217
307	0.203359637
308	0.2026221814
309	0.2021662611
310	0.2015251173
311	0.201091422
312	0.2003687859
313	0.1999752849
314	0.199247412
315	0.1985991915
316	0.1977682461
317	0.1971878931
318	0.1968653539
319	0.1964849718
320	0.1959697324
321	0.1958138754
322	0.1948999765
323	0.1941522395
324	0.193499066
325	0.1925069422
326	0.1921879805
327	0.1912472005
328	0.1907297101
329	0.1899301222
330	0.1894195909
331	0.1887248379
332	0.1882957982
333	0.1877672299
334	0.1863395641
335	0.1861050522
336	0.1858303547
337	0.1855781241
338	0.1848759521
339	0.1839075779
340	0.1834497639
341	0.1826509543
342	0.1817801632
343	0.18118765
344	0.1806843235
345	0.1795569289
346	0.1789102591
347	0.1785618352
348	0.1779660455
349	0.1773463921
350	0.1769066029
351	0.1763199929
352	0.1758624786
353	0.1755091081
354	0.1749966637
355	0.1746418665
356	0.1740257596
357	0.1736037777
358	0.1733214807
359	0.172513286
360	0.1722589385
361	0.1717564213
362	0.1710495474
363	0.1707109876
364	0.1698526205
365	0.1693356053
366	0.168951013
367	0.1687164711
368	0.1683871681
369	0.1679501968
370	0.1676944068
371	0.1674210033
372	0.1669941512
373	0.1662274768
374	0.1658621915
375	0.1649850139
376	0.1645979865
377	0.1639951988
378	0.163162342
379	0.162740964
380	0.1624912481
381	0.1622294216
382	0.1618410952
383	0.1606378929
384	0.1603508298
385	0.159778841
386	0.1588686367
387	0.1577308692
388	0.1569801995
389	0.1567427762
390	0.1559779236
391	0.1557156917
392	0.1541669417
393	0.1537428743
394	0.1533923287
395	0.1532609048
396	0.152522005
397	0.1517155057
398	0.1507553507
399	0.1503108828
400	0.1500788758
401	0.1485605205
402	0.1478944777
403	0.147293553
404	0.146878445
405	0.1456785679
406	0.1450073126
407	0.1443896449
408	0.1438993372
409	0.1437132274
410	0.1434037473
411	0.1429246978
412	0.1425519441
413	0.1422361997
414	0.1418715562
415	0.1413436995
416	0.1407469653
417	0.1395277345
418	0.138730563
419	0.1384117476
420	0.1378607379
421	0.1371996413
422	0.1368136348
423	0.1362374684
424	0.1360303066
425	0.1349649287
426	0.134556548
427	0.1340725056
428	0.1338044483
429	0.1333249484
430	0.1327592549
431	0.1325120555
432	0.1322944193
433	0.1316673952
434	0.1308624573
435	0.1304805427
436	0.1301915616
437	0.1292026801
438	0.1287032397
439	0.1278525307
440	0.1271035999
441	0.1268120806
442	0.1263060401
443	0.125546338
444	0.1251411486
445	0.12492673
446	0.1246609753
447	0.1241970332
448	0.1237130789
449	0.1231977547
450	0.1226841381
451	0.1222762837
452	0.1217817687
453	0.1208210528
454	0.120288368
455	0.1199174511
456	0.1193370245
457	0.1190148029
458	0.1185980187
459	0.1180855682
460	0.1177524561
461	0.1170826951
462	0.1160320065
463	0.1156912843
464	0.1152371976
465	0.115036312
466	0.1147716213
467	0.1141838651
468	0.1138133089
469	0.1135996105
470	0.1133934642
471	0.1129949986
472	0.1126124198
473	0.1118293526
474	0.1112504146
475	0.1107541491
476	0.1105167319
477	0.1099447189
478	0.1096123331
479	0.1092877085
480	0.1090838431
481	0.1088019949
482	0.1084689085
483	0.1081635085
484	0.1075209139
485	0.1071502423
486	0.1068576601
487	0.1065452341
488	0.1061464472
489	0.1059227567
490	0.1053497496
491	0.1048832134
492	0.1045101724
493	0.1041380169
494	0.1036938848
495	0.1031422401
496	0.1030324601
497	0.1029150438
498	0.1026486205
499	0.1022809418
500	0.1015724218
501	0.1011977562
502	0.1010153391
503	0.1007021146
504	0.1002747177
505	0.09965174017
506	0.09935895177
507	0.09891528353
508	0.09849068196
509	0.098293316
510	0.09806865489
511	0.0974872296
512	0.0970726016
513	0.09647778872
514	0.09622053285
515	0.09590336578
516	0.0949505465
517	0.09453622788
518	0.09442339196
519	0.0939836763
520	0.09361173077
521	0.09311143263
522	0.09281589082
523	0.09231370618
524	0.09176290156
525	0.0914679469
526	0.09074133111
527	0.09042102137
528	0.08992295333
529	0.08953624968
530	0.08937241111
531	0.08913398245
532	0.08887324236
533	0.08824635854
534	0.08781833632
535	0.08771510189
536	0.08697020762
537	0.0865342623
538	0.08615781154
539	0.08602902713
540	0.08584676414
541	0.0856573223
542	0.08504125334
543	0.08476941071
544	0.08444248256
545	0.08393871854
546	0.08334344249
547	0.08308099904
548	0.08265930266
549	0.08230687845
