iter	Passed	Remaining
0	15	76418
1	28	70691
2	43	71666
3	56	70756
4	70	70526
5	87	72928
6	107	76335
7	122	76389
8	136	75426
9	154	77264
10	198	89966
11	233	97167
12	268	102912
13	297	105778
14	323	107352
15	349	108718
16	375	110102
17	410	113710
18	444	116609
19	491	122405
20	521	123679
21	543	122988
22	568	123074
23	602	124953
24	635	126401
25	659	126245
26	688	126753
27	713	126715
28	742	127298
29	776	128712
30	824	132208
31	853	132484
32	877	132134
33	899	131443
34	930	132061
35	976	134652
36	1008	135211
37	1040	135914
38	1069	136105
39	1229	152482
40	1280	154821
41	1310	154678
42	1331	153462
43	1355	152627
44	1386	152669
45	1417	152675
46	1450	152879
47	1475	152242
48	1502	151799
49	1531	151592
50	1554	150860
51	1587	151084
52	1613	150581
53	1642	150426
54	1675	150624
55	1702	150333
56	1732	150208
57	1757	149772
58	1786	149631
59	1812	149195
60	1838	148850
61	1858	148021
62	1881	147471
63	1911	147454
64	1939	147225
65	1958	146418
66	1979	145750
67	2003	145327
68	2040	145807
69	2064	145376
70	2086	144853
71	2110	144480
72	2135	144140
73	2162	143920
74	2185	143525
75	2212	143353
76	2235	142918
77	2252	142155
78	2277	141857
79	2297	141323
80	2321	140975
81	2345	140657
82	2369	140355
83	2390	139906
84	2415	139688
85	2453	140177
86	2475	139797
87	2493	139189
88	2501	138024
89	2524	137723
90	2549	137515
91	2578	137533
92	2606	137539
93	2630	137294
94	2657	137203
95	2682	137043
96	2710	137018
97	2744	137261
98	2766	136967
99	2789	136670
100	2808	136248
101	2829	135893
102	2857	135843
103	2882	135699
104	2902	135331
105	2924	135043
106	2946	134761
107	2973	134688
108	2996	134475
109	3017	134160
110	3040	133915
111	3063	133705
112	3084	133399
113	3112	133380
114	3137	133284
115	3160	133079
116	3189	133099
117	3212	132908
118	3234	132680
119	3255	132401
120	3274	132037
121	3297	131838
122	3324	131826
123	3351	131773
124	3376	131697
125	3411	131984
126	3432	131693
127	3439	130905
128	3455	130472
129	3474	130158
130	3490	129723
131	3512	129541
132	3535	129387
133	3559	129247
134	3589	129372
135	3615	129320
136	3641	129263
137	3667	129198
138	3687	128964
139	3713	128916
140	3733	128659
141	3760	128657
142	3804	129203
143	3821	128876
144	3843	128683
145	3863	128456
146	3884	128251
147	3915	128370
148	3948	128543
149	3975	128530
150	3998	128386
151	4027	128462
152	4056	128498
153	4063	127853
154	4089	127822
155	4110	127621
156	4134	127539
157	4161	127517
158	4185	127442
159	4216	127555
160	4242	127520
161	4267	127441
162	4293	127413
163	4304	126925
164	4329	126878
165	4356	126859
166	4381	126811
167	4401	126596
168	4424	126468
169	4450	126439
170	4479	126508
171	4512	126659
172	4535	126554
173	4561	126511
174	4588	126498
175	4597	125999
176	4619	125862
177	4640	125698
178	4660	125521
179	4683	125410
180	4708	125357
181	4744	125604
182	4767	125485
183	4794	125478
184	4824	125575
185	4850	125542
