brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,age_bucket,price_aed
Abarth,595,33000,Competizione,2 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,4,149.5,1249.5,8250.0,4-6,49950.0
Abarth,695,29000,Other,3 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,4,149.5,1249.5,7250.0,4-6,104900.0
Abarth,595,30895,C Competizione,3 door,Petrol,4,Soft Top Convertible,4 Seater,Left Hand,GCC Specs,5,149.5,1249.5,6179.0,4-6,65000.0
Abarth,595,52873,C Competizione,5+ doors,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,5,149.5,1249.5,10574.6,4-6,65000.0
Abarth,595,13000,C Competizione,2 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,4,149.5,1249.5,3250.0,4-6,75000.0
Abarth,695,58000,Other,2 door,Petrol,4,Hatchback,2 Seater,Left Hand,European Specs,11,149.5,1249.5,5272.727272727273,10+,105000.0
Abarth,595,53000,Competizione,2 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,4,149.5,1249.5,13250.0,4-6,55000.0
Abarth,695,5,Turismo,2 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,2,149.5,1249.5,2.5,2-3,114999.0
Abarth,595,50000,Competizione,3 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,5,149.5,1249.5,10000.0,4-6,52500.0
Abarth,595,89986,Competizione,2 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,7,149.5,1249.5,12855.142857142857,7-10,59000.0
Abarth,695,38200,Turismo Cabrio,2 door,Petrol,4,Soft Top Convertible,4 Seater,Left Hand,GCC Specs,3,149.5,1249.5,12733.333333333334,2-3,89999.0
Abarth,695,21100,Turismo,2 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,3,149.5,1749.5,7033.333333333333,2-3,78000.0
