kms,vehicle_age,kms_per_year,horsepower_mid,engine_cc_mid,doors,cylinders,seating_capacity,brand,model,trim,fuel_type,body_type,steering_side,regional_specs,age_bucket,log_price
200000,18,11111.111111111111,549.5,4000.0,4 door,12,5 Seater,Mercedes-Benz,S-Class,S 600,Petrol,Sedan,Left Hand,Japanese Specs,10+,10.799595985047786
34242,3,11414.0,149.5,1749.5,4 door,4,5 Seater,JAC,J7,Turbo,Petrol,Sedan,Left Hand,GCC Specs,2-3,10.5713425658087
245000,8,30625.0,149.5,1749.5,5+ doors,4,8 Seater,Toyota,Previa,S,Petrol,Pick Up Truck,Left Hand,GCC Specs,7-10,10.87806606028079
150000,18,8333.333333333334,149.5,2749.5,2 door,4,2 Seater,Toyota,Tacoma,Other,Petrol,Pick Up Truck,Left Hand,American Specs,10+,10.463131911491969
212000,12,17666.666666666668,349.5,4000.0,4 door,8,5 Seater,Infiniti,QX70,Luxury,Petrol,SUV,Left Hand,GCC Specs,10+,10.021315031649332
225800,8,28225.0,349.5,4000.0,4 door,8,7 Seater,GMC,Yukon,SLT,Petrol,SUV,Left Hand,GCC Specs,7-10,11.390769130367213
17499,3,5833.0,149.5,2749.5,4 door,4,7 Seater,Toyota,Prado,Other,Petrol,SUV,Left Hand,GCC Specs,2-3,11.81303746480054
47000,10,4700.0,349.5,3749.5,2 door,6,2 Seater,Porsche,Cayman,GT4,Petrol,Coupe,Left Hand,GCC Specs,7-10,12.721888795877376
29300,5,5860.0,449.5,4000.0,2 door,8,4 Seater,Ford,Mustang,GT,Petrol,Soft Top Convertible,Left Hand,GCC Specs,4-6,12.043500773454497
117000,7,16714.285714285714,349.5,3749.5,4 door,6,7 Seater,Audi,Q7,55 TFSI quattro,Petrol,SUV,Left Hand,GCC Specs,7-10,11.461642696843066
260000,15,17333.333333333332,249.5,3249.5,4 door,6,5 Seater,Ford,Edge,SEL,Petrol,SUV,Left Hand,Canadian Specs,10+,10.106469212026385
194000,10,19400.0,549.5,749.5,5+ doors,8,8 Seater,Lexus,LX-Series,LX 570 Signature,Petrol,SUV,Left Hand,GCC Specs,7-10,12.201065128819632
193000,10,19300.0,349.5,4000.0,4 door,8,7 Seater,GMC,Yukon,Other,Petrol,Other,Left Hand,GCC Specs,7-10,11.141876276228
19000,2,9500.0,249.5,2249.5,4 door,4,5 Seater,Toyota,Rav 4,VXR Hybrid,Hybrid,SUV,Left Hand,GCC Specs,2-3,11.580593459194764
43000,5,8600.0,249.5,1749.5,3 door,4,2 Seater,BMW,Z4,Sdrive30i,Petrol,Soft Top Convertible,Left Hand,GCC Specs,4-6,12.031725210748633
0,1,0.0,149.5,1749.5,4 door,4,5 Seater,GAC,EMKOO,GL,Petrol,SUV,Left Hand,GCC Specs,0-1,11.362102575235644
0,1,0.0,449.5,1749.5,5+ doors,4,5 Seater,BYD,Leopard,Titanium 7 Ultra Edition,Hybrid,SUV,Left Hand,Other,0-1,11.775297421715829
122665,19,6456.052631578948,349.5,4000.0,4 door,Unknown,7 Seater,GMC,Yukon,XL SLT,Petrol,SUV,Left Hand,GCC Specs,10+,9.741027444837728
121009,10,12100.9,249.5,3749.5,3 door,6,4 Seater,Jeep,Wrangler,Sport,Petrol,SUV,Left Hand,GCC Specs,7-10,10.75579427616868
8000,2,4000.0,849.5,3249.5,5+ doors,4,5 Seater,Toyota,Raize,TURBO G,Petrol,Sedan,Left Hand,GCC Specs,2-3,11.0186455364637
39243,3,13081.0,349.5,249.5,5+ doors,Unknown,5 Seater,Tesla,Model Y,Long Range,Electric,SUV,Left Hand,GCC Specs,2-3,11.745631152988125
138000,10,13800.0,249.5,1749.5,4 door,4,5 Seater,Infiniti,Q50,Premium,Petrol,Sedan,Left Hand,GCC Specs,7-10,10.275051108968611
32860,2,16430.0,149.5,2249.5,5+ doors,4,5 Seater,Audi,A5,40 TFSI S-Line,Petrol,Sedan,Left Hand,GCC Specs,2-3,12.043265439190504
40917,3,13639.0,249.5,4000.0,5+ doors,8,7 Seater,Lexus,GX 460,Premier,Petrol,SUV,Left Hand,GCC Specs,2-3,12.259613412458204
229000,15,15266.666666666666,149.5,3749.5,4 door,6,5 Seater,Infiniti,M-Series,M37,Petrol,Sedan,Left Hand,GCC Specs,10+,9.433563920090563
0,1,0.0,249.5,2249.5,4 door,4,5 Seater,Jetour,T2,2.0L 4WD,Petrol,SUV,Left Hand,Chinese Specs,0-1,11.81303746480054
225939,12,18828.25,249.5,3749.5,5+ doors,6,5 Seater,Ford,Edge,Limited,Petrol,SUV,Left Hand,GCC Specs,10+,10.003378135350925
19000,7,2714.285714285714,749.5,,2 door,8,2 Seater,Chevrolet,Corvette,ZR1,Petrol,Coupe,Left Hand,Other,7-10,13.171155446333852
6490,1,6490.0,149.5,1249.5,5+ doors,4,5 Seater,Mercedes-Benz,GLA,200,Petrol,SUV,Left Hand,GCC Specs,0-1,12.149507585033072
50,4,12.5,649.5,4000.0,4 door,12,4 Seater,Mercedes-Maybach,S-Class,S 680,Petrol,Sedan,Left Hand,European Specs,4-6,14.077875591662238
65212,8,8151.5,249.5,4000.0,5+ doors,8,7 Seater,Toyota,Land Cruiser,GXR,Diesel,SUV,Left Hand,GCC Specs,7-10,11.898194668458824
155000,4,38750.0,249.5,2249.5,4 door,4,5 Seater,Ford,Ranger,XL,Diesel,Pick Up Truck,Left Hand,GCC Specs,4-6,10.993748398115178
197000,16,12312.5,449.5,4000.0,4 door,8,5 Seater,Mercedes-Benz,S-Class,S 550,Petrol,Sedan,Left Hand,American Specs,10+,9.852246888342531
256000,11,23272.727272727272,349.5,2749.5,4 door,6,5 Seater,Land Rover,Range Rover Sport,HSE,Petrol,SUV,Left Hand,GCC Specs,10+,10.778977123006351
40666,7,5809.428571428572,649.5,4000.0,2 door,12,4 Seater,Ferrari,GTC4 Lusso,V12,Petrol,Hatchback,Left Hand,GCC Specs,7-10,13.303018546545276
186000,7,26571.42857142857,349.5,3249.5,4 door,6,5 Seater,Mercedes-Benz,E-Class,E450 4Matic,Petrol,Sedan,Left Hand,American Specs,7-10,11.19822841866684
11,1,11.0,149.5,1749.5,4 door,4,5 Seater,Hyundai,Elantra,Smart,Petrol,Sedan,Left Hand,Chinese Specs,0-1,10.736418414365374
5000,4,1250.0,,3749.5,2 door,8,2 Seater,Ferrari,SF90 Stradale,Assetto Fiorano,Hybrid,Coupe,Left Hand,Japanese Specs,4-6,14.070153551531352
72337,19,3807.2105263157896,349.5,4000.0,5+ doors,8,7 Seater,Mercedes-Benz,GL-Class,GL 550 4Matic,Petrol,SUV,Left Hand,Japanese Specs,10+,10.404293143019792
57200,5,11440.0,549.5,4000.0,4 door,12,4 Seater,Rolls-Royce,Ghost,EWB,Petrol,Sedan,Left Hand,GCC Specs,4-6,13.658857917508856
15914,2,7957.0,349.5,1749.5,4 door,4,5 Seater,Mercedes-Benz,GLE-Class,GLE 450 4Matic,Hybrid,SUV,Left Hand,Other,2-3,12.34148164933907
149987,11,13635.181818181818,349.5,3749.5,4 door,6,5 Seater,Infiniti,Q50,Luxe,Petrol,Sedan,Left Hand,GCC Specs,10+,10.463131911491969
122000,17,7176.470588235294,149.5,1249.5,4 door,3,4 Seater,Suzuki,Swift,Sport,Petrol,Other,Left Hand,GCC Specs,10+,9.259225769705994
118000,4,29500.0,349.5,2249.5,4 door,4,5 Seater,Volkswagen,Golf,R,Petrol,Hatchback,Left Hand,GCC Specs,4-6,11.599112335481124
5756,11,523.2727272727273,849.5,4000.0,2 door,8,2 Seater,Porsche,918 Spyder,Standard,Hybrid,Hard Top Convertible,Left Hand,GCC Specs,10+,15.53827733427679
9100,9,1011.1111111111112,749.5,4000.0,2 door,12,2 Seater,Lamborghini,Aventador,LP 750-4 Superveloce,Petrol,Coupe,Left Hand,GCC Specs,7-10,14.346139397261563
48000,5,9600.0,249.5,2249.5,4 door,4,5 Seater,Audi,A6,45 TFSI,Petrol,Sedan,Left Hand,GCC Specs,4-6,11.338583982516496
75000,8,9375.0,249.5,2249.5,4 door,4,5 Seater,Toyota,Rav 4,Other,Petrol,SUV,Left Hand,American Specs,7-10,10.714417768752456
53,0,0.0,549.5,4000.0,4 door,12,5 Seater,Rolls-Royce,Cullinan,Black Badge,Petrol,SUV,Left Hand,GCC Specs,0-1,14.82674813091596
83000,4,20750.0,49.5,1249.5,4 door,4,5 Seater,Nissan,Sunny,S,Petrol,Sedan,Left Hand,GCC Specs,4-6,10.25769445336048
40000,2,20000.0,149.5,1249.5,4 door,4,5 Seater,Geely,Emgrand,GS,Petrol,Sedan,Left Hand,GCC Specs,2-3,10.404293143019792
109473,9,12163.666666666666,249.5,2249.5,4 door,4,5 Seater,BMW,5-Series,530i M Sport,Petrol,Sedan,Left Hand,GCC Specs,7-10,11.349829898661165
151000,11,13727.272727272728,249.5,3249.5,4 door,4,4 Seater,Chrysler,300C,Platinum,Petrol,Sedan,Left Hand,Korean Specs,10+,10.043292972227004
0,1,0.0,449.5,3249.5,4 door,6,7 Seater,Lexus,LX-Series,LX 600 Base,Petrol,SUV,Left Hand,GCC Specs,0-1,13.017005083966255
0,1,0.0,349.5,1249.5,2 door,4,2 Seater,Toyota,Hilux,Single Cabine GL,Petrol,Pick Up Truck,Left Hand,GCC Specs,0-1,11.373674891823535
79000,7,11285.714285714286,249.5,2249.5,5+ doors,Unknown,4 Seater,Mercedes-Benz,CLA,CLA250,Petrol,Sedan,Left Hand,American Specs,7-10,10.837637848711047
109158,6,18193.0,149.5,249.5,4 door,4,5 Seater,GMC,Terrain,SLT,Petrol,SUV,Left Hand,American Specs,4-6,10.915106645867503
6800,2,3400.0,449.5,3249.5,4 door,6,5 Seater,Mercedes-Benz,GLC Coupe,GLC 43 AMG 4Matic,Petrol,Coupe,Left Hand,Japanese Specs,2-3,12.608202196848836
18000,2,9000.0,349.5,4000.0,4 door,6,5 Seater,Chevrolet,Tahoe,Other,Petrol,SUV,Left Hand,American Specs,2-3,12.190964083849376
126174,6,21029.0,249.5,2249.5,5+ doors,4,5 Seater,Mercedes-Benz,GLC,GLC 300,Petrol,SUV,Left Hand,American Specs,4-6,11.373674891823535
26,0,0.0,249.5,2249.5,5+ doors,4,5 Seater,Jetour,T2,Luxury,Petrol,SUV,Left Hand,GCC Specs,0-1,11.842236406331557
145000,9,16111.111111111111,149.5,1749.5,4 door,4,5 Seater,Kia,Cerato,LX Hatchback,Petrol,Hatchback,Left Hand,GCC Specs,7-10,10.106469212026385
72009,3,24003.0,249.5,3249.5,4 door,6,7 Seater,Toyota,Prado,EXR,Petrol,SUV,Left Hand,GCC Specs,2-3,11.767575435251748
106096,10,10609.6,149.5,1749.5,4 door,4,7 Seater,Kia,Sorento,SX,Petrol,SUV,Left Hand,American Specs,7-10,10.463131911491969
