brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket
Jetour,T2,0,Other,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,Chinese Specs,1,249.5,2249.5,0.0,11.440365524765756,0-1
BMW,X7,121000,40i M Sport,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,6,349.5,3249.5,20166.666666666668,11.951186847493476,4-6
Jetour,T2,45000,Traveler Plus,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,1,349.5,2249.5,45000.0,11.678448377988165,0-1
Honda,Odyssey,163250,Touring,4 door,Petrol,6,Van,8 Seater,Left Hand,GCC Specs,10,349.5,3249.5,16325.0,10.389026137075234,7-10
BMW,X5,60683,Xdrive 40i,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,4,349.5,2749.5,15170.75,12.25486757159303,4-6
Geely,Preface,18000,GF,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,1,249.5,2249.5,18000.0,11.311433321100587,0-1
Mercedes-Benz,SLK-Class,249094,SLK 200,2 door,Petrol,4,Coupe,2 Seater,Left Hand,GCC Specs,17,149.5,2249.5,14652.588235294115,9.472781556562168,10+
Toyota,Avanza,131000,E,4 door,Petrol,4,Van,7 Seater,Left Hand,GCC Specs,6,249.5,1749.5,21833.333333333332,10.239995502805316,4-6
Nissan,Altima,160000,S,4 door,Petrol,,Sedan,5 Seater,Left Hand,GCC Specs,14,,,11428.57142857143,9.15915233520675,10+
BYD,Song Plus,30,DM-i,4 door,Hybrid,4,SUV,5 Seater,Left Hand,Chinese Specs,1,249.5,1749.5,30.0,11.277215789596893,0-1
Ford,Explorer,104901,XLT,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,5,249.5,,20980.2,11.140425970684525,4-6
Volkswagen,Golf,220000,GTI,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,10,249.5,2249.5,22000.0,10.106469212026385,7-10
Land Rover,Range Rover Sport,123420,HSE Dynamic,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,8,349.5,3249.5,15427.5,11.918390573078392,7-10
Mercedes-Benz,GLE Coupe,19000,GLE 53 AMG,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,2,449.5,3249.5,9500.0,12.947774248188859,2-3
Dodge,Challenger,106000,R/T Plus,2 door,Petrol,8,Sports Car,5 Seater,Left Hand,American Specs,8,349.5,4000.0,13250.0,10.859018228147887,7-10
Nissan,X-Trail,65877,S,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,,2749.5,8234.625,10.736396675471232,7-10
Mercedes-Benz,S-Class,193477,S 400,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,11,349.5,3249.5,17588.81818181818,11.127277689932466,10+
