iter	RMSE
0	1.16137633
1	1.118038498
2	1.07674854
3	1.037098518
4	0.9996995756
5	0.9651801255
6	0.9326474402
7	0.9007754111
8	0.8711616976
9	0.8428287664
10	0.8161719556
11	0.7908319234
12	0.7674180075
13	0.7450386034
14	0.7232561352
15	0.7039613712
16	0.684792388
17	0.6655698463
18	0.646780238
19	0.6296866214
20	0.6137782303
21	0.5985915711
22	0.5846533795
23	0.5715419901
24	0.5587873551
25	0.546574405
26	0.5351511848
27	0.5239480566
28	0.5136316294
29	0.5040679945
30	0.495390624
31	0.4864328487
32	0.4779509832
33	0.4701166961
34	0.4627621777
35	0.4558047022
36	0.4487038694
37	0.4425761896
38	0.43696546
39	0.4315654375
40	0.426590031
41	0.4220414984
42	0.4175787874
43	0.4130898762
44	0.4089774327
45	0.4047670127
46	0.4010440637
47	0.3973731661
48	0.3940335846
49	0.3904890919
50	0.3873711306
51	0.3847439801
52	0.3820621532
53	0.3792083853
54	0.3770404302
55	0.3744657598
56	0.3717158185
57	0.3693075724
58	0.367304053
59	0.36528726
60	0.3631367623
61	0.3610283129
62	0.3592684203
63	0.3575904235
64	0.3558734863
65	0.3542991072
66	0.3526155967
67	0.3511153915
68	0.3496245393
69	0.3481789029
70	0.3466361619
71	0.3451481436
72	0.3436466051
73	0.3424665496
74	0.3411492715
75	0.3397318327
76	0.3386886221
77	0.3377430825
78	0.3367657385
79	0.3355743342
80	0.3347159913
81	0.3333357718
82	0.3323697934
83	0.3315369062
84	0.3303563588
85	0.3296709208
86	0.3286957894
87	0.327808535
88	0.3271129934
89	0.3263952278
90	0.3255586347
91	0.3247557276
92	0.3242497118
93	0.3233228559
94	0.3225383017
95	0.3216846907
96	0.3205901705
97	0.3200074479
98	0.319375749
99	0.3186940014
100	0.3178179398
101	0.3172209867
102	0.3164785059
103	0.3158917248
104	0.3151863259
105	0.314347594
106	0.3136911556
107	0.3129926228
108	0.3121298067
109	0.3114891746
110	0.310914709
111	0.3103366054
112	0.3099148941
113	0.3091895535
114	0.30850272
115	0.3079338847
116	0.3072522253
117	0.3066792245
118	0.3062257761
119	0.30569002
120	0.3052565309
121	0.304635984
122	0.3040902124
123	0.3038776809
124	0.3031227115
125	0.3025373013
126	0.3020291785
127	0.3013886884
128	0.3008168452
129	0.3001985464
130	0.2996343719
131	0.2990746035
132	0.2986221132
133	0.2982152942
134	0.2979323765
135	0.2973947141
136	0.296871933
137	0.296367536
138	0.2958859215
139	0.2954179813
140	0.2948437159
141	0.2945498063
142	0.2940724283
143	0.2937780152
144	0.2934129649
145	0.2930134788
146	0.2924292785
147	0.292003768
148	0.2914507841
149	0.2909497899
150	0.290598405
151	0.2902321284
152	0.2898462438
153	0.2895088071
154	0.2892317973
155	0.2888009316
156	0.288564926
157	0.2881669158
158	0.2878850796
159	0.2874591199
160	0.2872569892
161	0.2870170934
162	0.2865704845
163	0.2861655866
164	0.2858496013
165	0.2856109609
166	0.2854279215
167	0.2849976346
