iter	Passed	Remaining
0	13	41192
1	28	42462
2	44	44809
3	59	44739
4	74	44493
5	88	44045
6	102	43727
7	118	44479
8	133	44344
9	151	45206
10	166	45109
11	190	47343
12	218	50274
13	241	51512
14	270	53829
15	307	57279
16	338	59473
17	361	59848
18	381	59932
19	408	60792
20	426	60559
21	443	60099
22	464	60180
23	486	60321
24	514	61231
25	537	61502
26	559	61649
27	582	61843
28	604	61910
29	627	62115
30	652	62501
31	670	62178
32	688	61909
33	707	61726
34	736	62388
35	759	62498
36	785	62875
37	807	62936
38	829	62989
39	853	63141
40	872	62988
41	897	63237
42	920	63307
43	939	63092
44	960	63051
45	981	63059
46	1002	63004
47	1026	63155
48	1050	63273
49	1071	63219
50	1095	63366
51	1123	63717
52	1145	63705
53	1164	63548
54	1188	63637
55	1212	63748
56	1234	63724
57	1256	63710
58	1284	64031
59	1313	64370
60	1346	64882
61	1369	64874
62	1390	64803
63	1411	64758
64	1435	64824
65	1459	64877
66	1490	65246
67	1515	65351
68	1542	65529
69	1566	65558
70	1593	65741
71	1616	65753
72	1645	65976
73	1670	66045
74	1690	65942
75	1715	66009
76	1744	66220
77	1774	66476
78	1800	66563
79	1825	66624
80	1852	66767
81	1882	67005
82	1912	67207
83	1938	67309
84	1966	67423
85	1995	67627
86	2023	67739
87	2049	67809
88	2084	68193
89	2111	68267
90	2134	68231
91	2161	68335
92	2187	68376
93	2213	68416
94	2236	68391
95	2261	68421
96	2284	68374
97	2311	68458
98	2346	68769
99	2380	69048
100	2406	69061
101	2426	68937
102	2445	68771
103	2465	68654
104	2487	68573
105	2507	68472
106	2531	68440
107	2561	68596
108	2613	69310
109	2634	69207
110	2656	69131
111	2677	69052
112	2702	69038
113	2728	69065
114	2749	68982
115	2777	69043
116	2802	69063
117	2827	69063
118	2850	69003
119	2874	68982
120	2899	68982
121	2921	68917
122	2942	68834
123	2953	68513
124	2974	68406
125	3000	68433
126	3020	68329
127	3042	68274
128	3066	68247
129	3090	68222
130	3114	68200
131	3137	68158
132	3164	68207
133	3189	68209
134	3211	68164
135	3238	68197
136	3258	68098
137	3281	68048
138	3306	68055
139	3330	68029
140	3355	68032
141	3376	67951
142	3399	67924
143	3420	67843
144	3443	67804
145	3466	67770
146	3492	67779
147	3518	67799
148	3541	67767
149	3566	67755
150	3586	67659
151	3611	67674
152	3638	67703
153	3660	67654
154	3685	67639
155	3708	67607
156	3733	67614
157	3757	67590
158	3779	67538
159	3799	67437
160	3819	67357
161	3841	67299
162	3862	67228
163	3887	67224
164	3912	67220
165	3938	67246
166	3962	67216
167	3985	67183
168	4011	67205
169	4033	67148
170	4057	67118
171	4082	67120
172	4102	67037
173	4129	67063
174	4153	67051
175	4180	67081
176	4206	67083
177	4231	67089
178	4254	67052
179	4275	66987
180	4294	66882
181	4315	66821
182	4338	66783
183	4362	66760
184	4384	66719
185	4408	66689
186	4430	66641
187	4455	66640
188	4481	66657
189	4501	66580
190	4523	66520
191	4542	66434
192	4562	66362
193	4584	66312
194	4605	66246
195	4628	66209
196	4655	66245
197	4685	66303
198	4711	66309
199	4740	66373
200	4766	66379
201	4791	66374
202	4811	66294
203	4831	66213
204	4853	66174
205	4876	66144
206	4899	66109
207	4921	66062
208	4950	66109
209	4975	66099
210	5003	66133
211	5034	66213
212	5058	66185
213	5079	66129
214	5098	66038
215	5122	66017
216	5143	65965
217	5166	65932
218	5189	65898
219	5216	65919
220	5244	65946
221	5266	65903
222	5289	65870
223	5313	65848
224	5339	65854
225	5367	65878
226	5393	65880
227	5422	65927
228	5454	66006
229	5484	66054
230	5517	66134
231	5542	66131
232	5566	66105
233	5589	66075
234	5615	66073
235	5644	66107
236	5673	66138
237	5706	66222
238	5736	66269
239	5761	66257
240	5781	66183
241	5803	66142
242	5831	66165
243	5859	66186
244	5887	66200
245	5919	66272
246	5949	66306
247	5980	66366
248	6005	66348
249	6027	66299
250	6054	66306
251	6081	66312
252	6109	66334
253	6132	66302
254	6154	66251
255	6174	66178
256	6199	66169
257	6228	66192
258	6257	66220
259	6286	66249
260	6311	66237
261	6342	66284
262	6372	66312
263	6396	66287
264	6421	66274
265	6448	66276
266	6476	66290
267	6502	66286
268	6525	66254
269	6553	66262
270	6579	66261
271	6600	66199
272	6618	66115
273	6639	66055
274	6664	66038
275	6686	65988
276	6711	65973
277	6737	65973
278	6769	66017
279	6795	66010
280	6818	65974
281	6839	65919
282	6860	65861
283	6882	65816
284	6904	65775
285	6926	65729
286	6950	65702
287	6974	65680
288	7004	65707
289	7029	65684
290	7051	65643
291	7071	65585
292	7094	65541
293	7116	65503
294	7142	65493
295	7174	65543
296	7198	65515
297	7222	65483
298	7244	65445
299	7268	65415
300	7289	65361
301	7313	65337
302	7338	65323
303	7365	65316
304	7391	65311
305	7417	65304
306	7439	65258
307	7459	65202
308	7483	65175
309	7512	65192
310	7538	65181
311	7568	65203
312	7594	65199
313	7626	65240
314	7652	65229
315	7671	65156
316	7689	65085
317	7713	65056
318	7734	65001
319	7756	64959
320	7784	64964
321	7816	65006
322	7845	65021
323	7872	65020
324	7895	64990
325	7918	64954
326	7941	64914
327	7962	64867
328	7983	64818
329	8006	64777
330	8027	64731
331	8054	64724
332	8082	64731
333	8114	64772
334	8137	64735
335	8159	64692
336	8182	64656
337	8205	64627
338	8229	64601
339	8253	64572
340	8282	64580
341	8313	64612
342	8340	64608
343	8363	64571
344	8384	64524
345	8407	64486
346	8429	64446
347	8451	64408
348	8473	64366
349	8504	64387
350	8537	64431
351	8564	64428
352	8588	64402
353	8610	64356
354	8636	64346
355	8660	64321
356	8682	64279
357	8706	64252
358	8732	64239
359	8758	64227
360	8785	64225
361	8807	64186
362	8832	64164
363	8858	64152
364	8878	64098
365	8904	64080
366	8930	64071
367	8956	64060
368	8975	63995
369	8997	63958
370	9023	63941
371	9050	63936
372	9075	63916
373	9097	63877
374	9120	63841
375	9145	63824
376	9170	63805
377	9193	63768
378	9216	63736
379	9245	63742
380	9274	63750
381	9293	63693
382	9315	63654
383	9343	63655
384	9367	63625
385	9390	63594
386	9412	63550
387	9433	63506
388	9458	63489
389	9503	63601
390	9536	63634
391	9586	63777
392	9618	63805
393	9650	63830
394	9675	63807
395	9692	63735
396	9711	63678
397	9732	63628
398	9753	63582
399	9776	63549
400	9801	63524
401	9827	63514
402	9850	63476
403	9879	63483
404	9905	63468
405	9929	63443
406	9956	63435
407	9980	63408
408	10005	63386
409	10032	63379
410	10056	63351
411	10080	63320
412	10105	63299
413	10126	63253
414	10147	63205
415	10171	63180
416	10194	63148
417	10217	63114
418	10243	63096
419	10265	63060
420	10285	63009
421	10310	62985
422	10337	62978
423	10365	62977
424	10394	62977
425	10429	63015
426	10460	63031
427	10489	63034
428	10516	63025
429	10545	63028
430	10578	63055
431	10615	63103
432	10641	63089
433	10664	63054
434	10685	63004
435	10705	62957
436	10723	62895
437	10747	62867
438	10769	62828
439	10791	62785
440	10815	62759
441	10839	62734
442	10865	62714
443	10889	62689
444	10917	62683
445	10940	62653
446	10966	62634
447	10989	62599
448	11010	62558
449	11035	62533
450	11061	62517
451	11083	62477
452	11108	62459
453	11136	62455
454	11160	62424
455	11182	62389
456	11206	62357
457	11230	62333
458	11255	62311
459	11280	62288
460	11306	62274
461	11331	62250
462	11357	62234
463	11385	62229
464	11413	62222
465	11435	62181
466	11457	62144
467	11479	62104
468	11497	62048
469	11526	62048
470	11553	62035
471	11577	62008
472	11605	61999
473	11632	61990
474	11655	61958
475	11681	61941
476	11714	61962
477	11750	61995
478	11778	61988
479	11809	61997
480	11838	61995
481	11860	61959
482	11888	61951
483	11917	61950
484	11948	61961
485	11979	61967
486	12011	61983
487	12042	61986
488	12069	61978
489	12102	61994
490	12128	61975
491	12151	61941
492	12179	61932
493	12202	61903
494	12229	61887
495	12256	61874
496	12285	61872
497	12311	61855
498	12337	61834
499	12357	61789
500	12378	61743
501	12400	61708
502	12424	61678
503	12450	61660
504	12477	61647
505	12502	61622
506	12522	61575
507	12546	61546
508	12569	61513
509	12593	61485
510	12614	61444
511	12638	61416
512	12663	61390
513	12689	61375
514	12716	61359
515	12737	61315
516	12758	61276
517	12780	61237
518	12799	61185
519	12818	61134
520	12842	61105
521	12866	61080
522	12893	61067
523	12922	61062
524	12950	61053
525	12977	61037
526	13004	61024
527	13029	61002
528	13054	60980
529	13080	60958
530	13108	60950
531	13134	60930
532	13157	60899
533	13183	60881
534	13210	60864
535	13234	60839
536	13261	60823
537	13282	60785
538	13303	60744
539	13327	60714
540	13354	60699
541	13379	60678
542	13409	60677
543	13434	60653
544	13458	60626
545	13482	60597
546	13512	60595
547	13539	60583
548	13564	60558
549	13590	60538
550	13615	60515
551	13640	60493
552	13663	60461
553	13685	60425
554	13709	60396
555	13726	60337
556	13749	60305
557	13776	60290
558	13801	60268
559	13824	60235
560	13845	60195
561	13868	60161
562	13892	60133
563	13914	60097
564	13939	60075
565	13963	60047
566	13990	60032
567	14018	60023
568	14048	60020
569	14079	60021
570	14105	60004
571	14124	59955
572	14145	59915
573	14161	59851
574	14181	59810
575	14209	59796
576	14236	59784
577	14258	59747
578	14283	59723
579	14311	59712
580	14333	59678
581	14361	59667
582	14382	59625
583	14403	59588
584	14423	59542
585	14444	59502
586	14467	59472
587	14492	59450
588	14521	59442
589	14546	59417
590	14570	59393
591	14596	59373
592	14623	59355
593	14647	59328
594	14669	59292
595	14688	59246
596	14710	59210
597	14736	59190
598	14758	59159
599	14782	59129
600	14805	59100
601	14827	59062
602	14853	59046
603	14879	59026
604	14905	59005
605	14930	58984
606	14952	58946
607	14972	58906
608	14995	58873
609	15016	58834
610	15041	58811
611	15066	58788
612	15087	58749
613	15118	58748
614	15146	58737
615	15170	58713
616	15205	58725
617	15224	58682
618	15245	58642
619	15270	58619
620	15292	58584
621	15317	58560
622	15339	58527
623	15368	58518
624	15394	58500
625	15420	58479
626	15448	58468
627	15476	58457
628	15502	58437
629	15524	58400
630	15547	58369
631	15571	58344
632	15594	58313
633	15620	58293
634	15649	58285
635	15675	58267
636	15698	58234
637	15726	58221
638	15752	58201
639	15777	58179
640	15799	58143
641	15817	58094
642	15838	58058
643	15861	58028
644	15894	58033
645	15912	57982
646	15937	57961
647	15964	57945
648	15997	57952
649	16021	57923
650	16044	57895
651	16066	57858
652	16090	57831
653	16115	57807
654	16140	57784
655	16170	57778
656	16198	57767
657	16225	57751
658	16249	57722
659	16271	57688
660	16293	57656
661	16317	57630
662	16341	57601
663	16368	57583
664	16396	57572
665	16409	57506
666	16434	57482
667	16460	57463
668	16488	57450
669	16499	57380
670	16518	57335
671	16539	57298
672	16561	57262
673	16589	57249
674	16614	57226
675	16639	57204
676	16662	57175
677	16688	57153
678	16715	57138
679	16737	57105
680	16762	57082
681	16786	57054
682	16816	57049
683	16841	57024
684	16867	57004
685	16888	56969
686	16910	56933
687	16932	56900
688	16958	56880
689	16984	56860
690	17011	56844
691	17038	56828
692	17065	56810
693	17086	56774
694	17107	56738
695	17130	56706
696	17151	56671
697	17173	56638
698	17200	56622
699	17233	56624
700	17262	56613
701	17295	56616
702	17322	56601
703	17342	56561
704	17365	56531
705	17385	56490
706	17411	56471
707	17437	56450
708	17458	56414
709	17484	56393
710	17507	56364
711	17534	56346
712	17559	56323
713	17589	56315
714	17614	56291
715	17636	56258
716	17668	56258
717	17688	56220
718	17714	56199
719	17741	56182
720	17776	56190
721	17799	56159
722	17826	56143
723	17856	56133
724	17881	56111
725	17904	56080
726	17928	56053
727	17955	56038
728	17977	56004
729	17999	55971
730	18022	55942
731	18048	55920
732	18074	55899
733	18100	55878
734	18126	55857
735	18150	55832
736	18178	55818
737	18203	55794
738	18226	55764
739	18250	55738
740	18277	55720
741	18303	55699
742	18329	55680
743	18360	55672
744	18379	55631
745	18404	55608
746	18433	55595
747	18456	55567
748	18481	55543
749	18509	55528
750	18534	55504
751	18558	55477
752	18583	55455
753	18605	55420
754	18628	55393
755	18656	55375
756	18679	55347
757	18703	55320
758	18725	55289
759	18748	55257
760	18772	55233
761	18797	55206
762	18820	55179
763	18845	55154
764	18872	55137
765	18900	55121
766	18924	55095
767	18951	55076
768	18974	55049
769	19001	55030
770	19025	55003
771	19048	54973
772	19074	54954
773	19100	54931
774	19125	54907
775	19154	54897
776	19177	54865
777	19200	54837
778	19221	54802
779	19243	54771
780	19268	54746
781	19286	54702
782	19316	54692
783	19353	54703
784	19378	54678
785	19401	54650
786	19423	54617
