title,price,currency,city,year,kms_numeric,url,make_detail,model_detail,color_detail,interior_color,cylinders,transmission,vehicle_type,steering_side,num_doors,seating_capacity,export_status,service_history,specs_detail
Audi A8 L 60 TFSI quattro 4.0L (454 HP),110000,AED,Dubai,2019,110000,https://www.dubicars.com/2019-audi-a8-l-60-tfsi-quattro-40l-454-hp-914006.html,Audi,A8,Black,Other color,8 Cylinders,Automatic,Sedan,Left hand,4 Doors,4 seater,Can be exported,No,Japanese
Jeep Wrangler Unlimited Sahara 3.6L A/T / 3 MOS WARRANTY & 1 YEAR SERVICE PACKAGE INCLUDED,69000,AED,Dubai,2015,186404,https://www.dubicars.com/2015-jeep-wrangler-unlimited-sahara-36l-at-3-mos-warranty-1-year-service-package-included-922003.html,Jeep,Wrangler,Silver,Black,6 Cylinders,Automatic,SUV/Crossover,Left hand,4 Doors,5 seater,Can be exported,No,GCC
Jeep Wrangler Unlimited Rubicon 3.6L / 3 MONTHS WARRANTY & 1 YEAR SERVICE PACKAGE INCLUDED,185000,AED,Dubai,2023,60824,https://www.dubicars.com/2023-jeep-wrangler-unlimited-rubicon-36l-3-months-warranty-1-year-service-package-included-926033.html,Jeep,Wrangler,Grey,Black,6 Cylinders,Automatic,SUV/Crossover,Left hand,4 Doors,5 seater,Can be exported,No,GCC
Jeep Wrangler Unlimited Sahara 3.8L A/T / 3 Months Warranty and 1 Year Service Package Included,45000,AED,Dubai,2009,99357,https://www.dubicars.com/2009-jeep-wrangler-unlimited-sahara-38l-at-3-months-warranty-and-1-year-service-package-included-923405.html,Jeep,Wrangler,Silver,Grey,6 Cylinders,Automatic,SUV/Crossover,Left hand,4 Doors,5 seater,Can be exported,No,GCC
Nissan XTrail SE 2.5L,22000,AED,Dubai,2012,320900,https://www.dubicars.com/2012-nissan-xtrail-se-25l-922371.html,Nissan,XTrail,White,Beige,4 Cylinders,Automatic,SUV/Crossover,Left hand,4 Doors,5 seater,Can be exported,No,GCC
Ford Mustang GT Premium 5.0L (435 HP) Convertible A/T | Monthly 2960/- | 0% DP | Blindspot | # 25301,185000,AED,Dubai,2024,22900,https://www.dubicars.com/2024-ford-mustang-gt-premium-50l-435-hp-convertible-at-monthly-2960-0-dp-blindspot-25301-880360.html,Ford,Mustang,Grey,Red,8 Cylinders,Automatic,Convertible,Left hand,2 Doors,4 seater,Can be exported,No,American
Dodge Challenger SRT 6.4L | Monthly 2000/- | 0% DP | Alcantara Seats | Super Track Pak | # 88953,123000,AED,Dubai,2023,19400,https://www.dubicars.com/2023-dodge-challenger-srt-64l-monthly-2000-0-dp-alcantara-seats-super-track-pak-88953-891899.html,Dodge,Challenger,Red,Grey,8 Cylinders,Automatic,Coupe,Left hand,2 Doors,5 seater,Can be exported,No,American
Ford Mustang EcoBoost 2.3L Coupe A/T | Monthly 1800/- | 0% DP | Blindspot | Digital Cluster | # 13702,115000,AED,Dubai,2024,40000,https://www.dubicars.com/2024-ford-mustang-ecoboost-23l-coupe-at-monthly-1800-0-dp-blindspot-digital-cluster-13702-923272.html,Ford,Mustang,Red,Grey,4 Cylinders,Automatic,Coupe,Left hand,2 Doors,4 seater,Can be exported,No,American
Ford Mustang Ecoboost Convertible | Monthly 1200/- | 0% DP |  Fog Lights | Lane Assist | # 44894,76000,AED,Dubai,2022,19000,https://www.dubicars.com/2022-ford-mustang-ecoboost-convertible-monthly-1200-0-dp-fog-lights-lane-assist-44894-923273.html,Ford,Mustang,Blue,Black,4 Cylinders,Automatic,Convertible,Left hand,2 Doors,4 seater,Can be exported,No,American
Dodge Challenger SXT 3.6L | Monthly 900/- | 0% DP | Original Airbags | Sport Mode | Fog Lights | # 03949,55000,AED,Dubai,2019,147000,https://www.dubicars.com/2019-dodge-challenger-sxt-36l-monthly-900-0-dp-original-airbags-sport-mode-fog-lights-03949-923276.html,Dodge,Challenger,Black,Red,6 Cylinders,Automatic,Coupe,Left hand,2 Doors,5 seater,Can be exported,No,American
