make,count_file1,count_file2,difference
Mercedes-Benz,1207,0,1207
Toyota,693,0,693
BMW,664,0,664
Nissan,471,0,471
Land Rover,462,0,462
Porsche,408,0,408
Ford,404,0,404
Jeep,275,0,275
Audi,237,0,237
Hyundai,236,0,236
Kia,212,0,212
Mitsubishi,199,0,199
Chevrolet,195,0,195
Dodge,193,0,193
Lexus,163,0,163
Rolls-Royce,159,0,159
Volkswagen,151,0,151
Bentley,150,0,150
Ferrari,147,0,147
Lamborghini,126,0,126
Tesla,126,0,126
Mini,114,0,114
Infiniti,111,0,111
MG,105,0,105
Mazda,101,0,101
Cadillac,75,0,75
Jetour,74,0,74
GMC,73,0,73
Honda,68,0,68
Renault,64,0,64
Lincoln,58,0,58
Maserati,54,0,54
Genesis,53,0,53
Jaguar,52,0,52
Suzuki,49,0,49
Volvo,46,0,46
Aston Martin,41,0,41
Geely,39,0,39
Peugeot,37,0,37
RAM,35,0,35
GAC,32,0,32
Alfa Romeo,27,0,27
Mercedes Maybach,26,0,26
JAC,26,0,26
Abarth,21,0,21
McLaren,20,0,20
Mitsubishi Fuso,16,0,16
Polestar,16,0,16
Chery,14,0,14
Changan,12,0,12
Skoda,11,0,11
BYD,11,0,11
BRABUS,10,0,10
Avatr,9,0,9
Subaru,9,0,9
Hino,9,0,9
Fiat,8,0,8
Bugatti,7,0,7
BAIC,7,0,7
Zeekr,6,0,6
DFSK,5,0,5
Haval,5,0,5
HONGQI,5,0,5
Rabdan,5,0,5
Hummer,5,0,5
Chrysler,5,0,5
Li Auto,4,0,4
AITO,4,0,4
Lancia,4,0,4
Citroen,4,0,4
Isuzu,3,0,3
Great Wall,3,0,3
Tank,3,0,3
Lotus,3,0,3
Opel,3,0,3
Pagani,3,0,3
Xiaomi,2,0,2
Smart,2,0,2
HiPhi,2,0,2
Dongfeng,2,0,2
KTM,2,0,2
ZX,2,0,2
Rolls-Royce Onyx,1,0,1
Yutong,1,0,1
Rivian,1,0,1
Wuling,1,0,1
Renault Samsung,1,0,1
Victory,1,0,1
Ssangyong,1,0,1
212 Motors,1,0,1
ROX,1,0,1
Dallara,1,0,1
Pontiac,1,0,1
Acura,1,0,1
Alpine,1,0,1
Ashok Leyland,1,0,1
Bestune,1,0,1
Buick,1,0,1
CMC,1,0,1
Caterham,1,0,1
Daihatsu,1,0,1
Benz,1,0,1
Eicher,1,0,1
Forthing,1,0,1
Harley-Davidson,1,0,1
INEOS,1,0,1
Iveco,1,0,1
King Long,1,0,1
Koenigsegg,1,0,1
Nio,1,0,1
Exeed,1,0,1
Others,1,0,1
mercedes-maybach,0,8,-8
morgan,0,1,-1
mitsubishi,0,293,-293
mini,0,60,-60
mg,0,3,-3
mercury,0,2,-2
maserati,0,87,-87
mercedes-benz,0,1486,-1486
mclaren,0,37,-37
mazda,0,72,-72
maybach,0,29,-29
lotus,0,15,-15
lincoln,0,59,-59
opel,0,3,-3
nissan,0,925,-925
subaru,0,7,-7
other-make,0,4,-4
peugeot,0,35,-35
porsche,0,450,-450
renault,0,62,-62
rolls-royce,0,141,-141
rover,0,2,-2
saab,0,1,-1
skoda,0,2,-2
smart,0,1,-1
land-rover,0,538,-538
suzuki,0,28,-28
tesla,0,53,-53
toyota,0,893,-893
volkswagen,0,234,-234
volvo,0,32,-32
lexus,0,339,-339
haval,0,1,-1
lamborghini,0,112,-112
kia,0,115,-115
acura,0,2,-2
alfa-romeo,0,23,-23
aston-martin,0,34,-34
audi,0,397,-397
baic,0,1,-1
bentley,0,138,-138
bmw,0,698,-698
cadillac,0,147,-147
changan,0,5,-5
chevrolet,0,303,-303
chrysler,0,16,-16
citroen,0,3,-3
daihatsu,0,6,-6
dodge,0,278,-278
ferrari,0,123,-123
fiat,0,12,-12
ford,0,541,-541
gac,0,1,-1
geely,0,4,-4
genesis,0,8,-8
gmc,0,144,-144
honda,0,165,-165
hummer,0,5,-5
hyundai,0,215,-215
infiniti,0,147,-147
isuzu,0,10,-10
jaguar,0,93,-93
jeep,0,345,-345
jetour,0,4,-4
westfield-sportscars,0,2,-2
