title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Land Rover Range Rover Sport P340 II Facelift,2018,"59,000 km","165,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-sport-ii-facelift-2018/id/215072/,Trim HSE DYNAMIC,White,Left-Hand Drive,"3.0 l, 340 hp, Petrol",SUV 5 dr.,N/A
Mitsubishi L200 V Facelift,2022,"113,000 km","47,999 AED",https://auto.ae/sharjah/sale/car/mitsubishi/mitsubishi-l200-v-facelift-2022/id/215069/,Trim GL,White,Left-Hand Drive,"2.4 l, 128 hp, Petrol",Pickup double cab,GCC Specs
Land Rover Range Rover Sport P340 II Facelift,2021,"33,000 km","175,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-sport-ii-facelift-2021/id/215071/,Trim HSE DYNAMIC,White,Left-Hand Drive,"3.0 l, 340 hp, Petrol",SUV 5 dr.,N/A
BMW 5 Series 520i VII (G30/G31),2020,"100,000 km","89,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-5-series-vii-g30g31-2020/id/215064/,Trim 520i,Blue,Left-Hand Drive,"2.0 l, 184 hp, Petrol",Sedan,GCC Specs
Land Rover Range Rover P525 IV Facelift,2019,"76,000 km","219,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-iv-facelift-2019/id/215067/,N/A,Black,Left-Hand Drive,"5.0 l, 525 hp, Petrol",SUV 5 dr.,N/A
Land Rover Range Rover Sport SVR II Facelift,2018,"45,700 km","220,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-sport-ii-facelift-2018/id/215065/,Trim SVR,Red,Left-Hand Drive,"5.0 l, 575 hp, Petrol",SUV 5 dr.,N/A
Land Rover Range Rover Sport SVR II Facelift,2019,"33,500 km","230,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-sport-ii-facelift-2019/id/215063/,Trim SVR,Black,Left-Hand Drive,"5.0 l, 575 hp, Petrol",SUV 5 dr.,N/A
Chevrolet Impala X,2019,"136,000 km","53,999 AED",https://auto.ae/sharjah/sale/car/chevrolet/chevrolet-impala-x-2019/id/215061/,Trim other,White,Left-Hand Drive,"3.6 l, 309 hp, Petrol",Sedan,GCC Specs
Land Rover Defender 110 II,2025,"3,200 km","375,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-defender-ii-2025/id/215062/,N/A,Black,Left-Hand Drive,"2.0 l, 300 hp, Petrol",SUV 5 dr. 110,N/A
Land Rover Range Rover Sport P400 MHEV III,2024,"14,000 km","388,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-sport-iii-2024/id/215060/,Trim Dynamic SE,Black,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr.,N/A
Mitsubishi Attrage I Facelift,2022,"58,000 km","21,999 AED",https://auto.ae/sharjah/sale/car/mitsubishi/mitsubishi-attrage-i-facelift-2022/id/215058/,Trim other,White,Left-Hand Drive,"1.2 l, 78 hp, Petrol",Sedan,GCC Specs
Land Rover Range Rover Sport P360 MHEV III,2025,0 km,"429,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-sport-iii-2025/id/215057/,Trim SE,White,Left-Hand Drive,"3.0 l, 360 hp, Petrol",SUV 5 dr.,N/A
Renault Duster II,2021,"89,000 km","36,000 AED",https://auto.ae/sharjah/sale/car/renault/renault-duster-ii-2021/id/215052/,Trim other,Red,Left-Hand Drive,"1.6 l, 114 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover P530 MHEV V,2023,"30,000 km","439,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2023/id/215055/,Trim SE,White,Left-Hand Drive,"4.4 l, 530 hp, Petrol",SUV 5 dr.,N/A
Land Rover Range Rover P530 MHEV V,2024,"18,000 km","488,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2024/id/215054/,N/A,White,Left-Hand Drive,"4.4 l, 530 hp, Petrol",SUV 5 dr.,N/A
Land Rover Range Rover P400 MHEV V,2024,"10,400 km","499,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2024/id/215053/,Trim Autobiography,Black,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr.,N/A
Land Rover Range Rover P530 MHEV V,2024,"6,900 km","599,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2024/id/215051/,Trim Autobiography,Beige,Left-Hand Drive,"4.4 l, 530 hp, Petrol",SUV 5 dr.,N/A
Mitsubishi Eclipse Cross I Facelift,2022,"85,000 km","50,999 AED",https://auto.ae/sharjah/sale/car/mitsubishi/mitsubishi-eclipse-cross-i-facelift-2022/id/215048/,Trim GLX H/L,Silver,Left-Hand Drive,"1.5 l, 150 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover P550e V,2025,0 km,"699,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2025/id/215049/,Trim Autobiography,Grey,Left-Hand Drive,"3.0 l, 550 hp, Hybrid",SUV 5 dr.,N/A
Land Rover Range Rover Sport P635 III,2025,"7,400 km","699,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-sport-iii-2025/id/215047/,Trim SV Black,Black,Left-Hand Drive,"4.4 l, 635 hp, Petrol",SUV 5 dr.,N/A
Mitsubishi Eclipse Cross I Facelift,2022,"78,000 km","50,999 AED",https://auto.ae/sharjah/sale/car/mitsubishi/mitsubishi-eclipse-cross-i-facelift-2022/id/215046/,Trim GLS M/L,White,Left-Hand Drive,"1.5 l, 150 hp, Petrol",SUV 5 dr.,GCC Specs
Nissan Patrol VI (Y62) Facelift,2019,"143,000 km","86,000 AED",https://auto.ae/sharjah/sale/car/nissan/nissan-patrol-vi-y62-facelift-2019/id/215045/,Trim Top,White,Left-Hand Drive,"5.6 l, 405 hp, Petrol",SUV 5 dr.,GCC Specs
GMC Yukon XL IV (GMT K2UG),2020,"154,000 km","86,999 AED",https://auto.ae/sharjah/sale/car/gmc/gmc-yukon-iv-gmt-k2ug-2020/id/215044/,Trim other,Silver,Left-Hand Drive,"5.3 l, 355 hp, Petrol",SUV 5 dr.,GCC Specs
Mercedes-Benz G-Class AMG Keyvany 820HP II (W465) Facelift,2022,600 km,"1,099,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w465-facelift-2022/id/214576/,Trim AMG G 63,Red,Left-Hand Drive,"4 l, 820 hp, Petrol",SUV 5 dr.,European Specs
BMW i3 40 I (G28) Facelift,2024,0 km,"125,000 AED",https://auto.ae/dubai/sale/car/bmw/bmw-i3-i-g28-facelift-2024/id/214540/,N/A,Black,Left-Hand Drive,"250 kWt, Electric",Sedan,N/A
"Mercedes-Benz S-Class AMG 63 AMG Long III (W222, C217) Facelift",2018,"51,000 km","225,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-s-class-amg-iii-w222-c217-facelift-2018/id/214735/,N/A,White,Left-Hand Drive,"4.0 l, 612 hp, Petrol",Sedan,GCC Specs
Mitsubishi L200 V Facelift,2021,"103,000 km","42,999 AED",https://auto.ae/sharjah/sale/car/mitsubishi/mitsubishi-l200-v-facelift-2021/id/215043/,Trim GL,White,Left-Hand Drive,"2.4 l, 128 hp, Petrol",Pickup double cab,GCC Specs
Dodge Charger SRT VII (LD) Facelift,2023,400 km,"239,000 AED",https://auto.ae/dubai/sale/car/dodge/dodge-charger-vii-ld-facelift-2023/id/214731/,N/A,Black,Left-Hand Drive,"6.4 l, 492 hp, Petrol",Sedan,European Specs
Toyota Avanza II,2020,"113,000 km","37,999 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-avanza-ii-2020/id/215042/,Trim other,White,Left-Hand Drive,"1.5 l, 104 hp, Petrol",Mini Van,GCC Specs
