brand,model,type,price_aed,year,kms,url,trim,horsepower,doors,fuel_type,cylinders,interior_color,exterior_color,body_type,seating_capacity,entertainment_and_technology,engine_capacity_cc,steering_side,regional_specs
Ashok Leyland,GAZL,,115000,2024,97138,https://uae.dubizzle.com/motors/used-cars/ashok-leyland/gazl/2025/12/26/abu-dhabi-musaffah-industrial-area-m20-3-321---960b60bece244058b4b147dd3e2b822a/,,Unknown,2 door,Diesel,4,Black,White,Pick Up Truck,8+ Seater,,Unknown,Left Hand,GCC Specs
Audi,Q8,,401000,2024,4100,https://uae.dubizzle.com/motors/used-cars/audi/q8/2025/5/1/q8-55-tfsi-quat-340hp-luxury-ref-020190-3-142---d7415183075446adbec7c82c3e1d7194/,,300 - 399 HP,4 door,Petrol,6,Black,Blue,SUV,5 Seater,"AM/FM Radio, Navigation System, Bluetooth, Premium Sound System",,Left Hand,GCC Specs
Bestune,T90,,79990,2025,1500,https://uae.dubizzle.com/motors/used-cars/bestune/t90/2025/12/20/finance-gcc-2l-turbo-top-limo-specs-2y-war-14-606---3b91c995806d4dac9cd07f0f4765a2f7/,,200 - 299 HP,5+ doors,Petrol,4,Maroon,Black,SUV,5 Seater,,2000 - 2499 cc,Left Hand,GCC Specs
BYD,Leopard 5,,144750,2025,400,https://uae.dubizzle.com/motors/used-cars/byd/leopard-5/2025/6/16/byd-leopard-5-exploration-edition-brand-ne-2-769---c6fb0fdbcac1452991490395a29aeaec/,,600 - 699 HP,5+ doors,Hybrid,4,Beige,Grey,SUV,5 Seater,"Navigation System, Premium Sound System",4000+ cc,Left Hand,Chinese Specs
BYD,SEALION 7,,111000,2025,0,https://uae.dubizzle.com/motors/used-cars/byd/sealion-7/2025/12/13/byd-sea-lion-07-ev-610km-intelligent-drive-2-943---2790e046fe5943929e9a19d057dedffe/,,200 - 299 HP,4 door,Electric,,Grey,Blue,Other,5 Seater,,,Left Hand,Chinese Specs
Chery,Tiggo7 Pro Max,,85000,2025,123,https://uae.dubizzle.com/motors/used-cars/chery/tiggo7-pro-max/2025/12/15/chery-tiggo-7-pro-max-brand-new-3-397---8a08f7b6c893486cad1f375bbc6ff9f0/,,100 - 199 HP,4 door,Petrol,4,Red,White,SUV,5 Seater,,1500 - 1999 cc,Left Hand,GCC Specs
Chevrolet,Silverado,,120000,2022,75220,https://uae.dubizzle.com/motors/used-cars/chevrolet/silverado/2025/10/16/aed-1824month-2022-chevrolet-silverado-gcc-2-108---df39f7a1e1d048208cff81789d3245d7/,,300 - 399 HP,2 door,Petrol,8,Beige,White,Pick Up Truck,2 Seater,"AM/FM Radio, Bluetooth",4000+ cc,Left Hand,GCC Specs
Chevrolet,Silverado,,135000,2021,19100,https://uae.dubizzle.com/motors/used-cars/chevrolet/silverado/2025/10/27/chevrolet-silvrado-trail-boss-z71-2-970---783c15775b6948c68d1e27855118497d/,,300 - 399 HP,4 door,Petrol,8,Black,Red,Pick Up Truck,5 Seater,"AM/FM Radio, Bluetooth, Premium Sound System",4000+ cc,Left Hand,Other
Chevrolet,Silverado,,129000,2021,117000,https://uae.dubizzle.com/motors/used-cars/chevrolet/silverado/2025/9/15/silverado-trailboss-3-504---e60e37e95ca14eb9b57fbe7b3def018e/,,400 - 499 HP,4 door,Petrol,8,Orange,White,Pick Up Truck,5 Seater,,Unknown,Left Hand,GCC Specs
Chevrolet,Silverado,,154000,2023,12000,https://uae.dubizzle.com/motors/used-cars/chevrolet/silverado/2025/5/2/chevrolet-_silverado_-trail-boss-12-614---5ab58b453d3a431480d63bd6c253c839/,,400 - 499 HP,2 door,Petrol,8,Grey,Black,SUV,,"AM/FM Radio, Navigation System, Bluetooth, Premium Sound System",4000+ cc,Left Hand,GCC Specs
Chevrolet,Silverado,,79000,2018,247000,https://uae.dubizzle.com/motors/used-cars/chevrolet/silverado/2025/9/8/high-country-2018-14-705---24e7a754b4c24e6ba0ab2042e7a2cdd7/,,600 - 699 HP,4 door,Petrol,8,Brown,White,Hard Top Convertible,5 Seater,"AM/FM Radio, Navigation System, Bluetooth, Premium Sound System",4000+ cc,Left Hand,GCC Specs
Chevrolet,Silverado,,112000,2022,64500,https://uae.dubizzle.com/motors/used-cars/chevrolet/silverado/2025/10/29/chevrolet-silvarado-trail-boss-2022-gcc-lo-2-431---91acd059fd234480a365fb829d95f805/,,300 - 399 HP,2 door,Petrol,8,Beige,Red,Pick Up Truck,2 Seater,"AM/FM Radio, Navigation System, Bluetooth, Premium Sound System",4000+ cc,Left Hand,GCC Specs
Chevrolet,Suburban,,84000,2018,113000,https://uae.dubizzle.com/motors/used-cars/chevrolet/suburban/2024/8/3/ltz-2018-12-212---157fee8fc35e497695c1d5dfb276f202/,,400 - 499 HP,4 door,Petrol,8,Red,White,SUV,,"AM/FM Radio, Navigation System, Bluetooth, Premium Sound System",4000+ cc,Left Hand,GCC Specs
Chevrolet,Silverado,,174000,2023,29800,https://uae.dubizzle.com/motors/used-cars/chevrolet/silverado/2025/9/28/silverado-2023-trail-boss-v8-53l-10-gear-g-2-082---447f7da2de824578825a1a9bcc36a6c6/,,300 - 399 HP,4 door,Petrol,8,Beige,Blue,Pick Up Truck,5 Seater,"AM/FM Radio, Navigation System, Bluetooth",Unknown,Left Hand,GCC Specs
Dodge,Ram,,118000,2020,198000,https://uae.dubizzle.com/motors/used-cars/dodge/ram/2025/11/3/2020-3-862---b6f813f8d82947dabaf39e9760e3346a/,,300 - 399 HP,4 door,Petrol,8,Beige,Grey,Utility Truck,5 Seater,"AM/FM Radio, Navigation System, Bluetooth, Premium Sound System",4000+ cc,Left Hand,GCC Specs
Dodge,Ram,,58000,2017,160000,https://uae.dubizzle.com/motors/used-cars/dodge/ram/2025/11/9/dodge-ram-hemi-2017-model-gcc-specificatio-14-708---c1d4cc104a844e39914caab5570ba585/,,300 - 399 HP,4 door,Petrol,8,Black,Black,SUV,5 Seater,,4000+ cc,Left Hand,GCC Specs
DongFeng,Z9,,121900,2026,0,https://uae.dubizzle.com/motors/used-cars/dongfeng/z9/2025/12/8/brand-new-dongfeng-z9-emi-aed-1910-with-de-3-260---655f5f0c55804266904d1a33478ed823/,,200 - 299 HP,4 door,Petrol,4,Grey,White,Pick Up Truck,5 Seater,,2000 - 2499 cc,Left Hand,GCC Specs
Ferrari,F8 Spider,,1295000,2022,2049,https://uae.dubizzle.com/motors/used-cars/ferrari/f8-spider/2025/12/11/very-low-mileage-2022-f8-spider-carbon-int-2-655---26a7e832ab1f4e7f946c2a1ca0ee3e43/,,600 - 699 HP,2 door,Petrol,8,Red,White,Hard Top Convertible,2 Seater,,4000+ cc,Left Hand,Japanese Specs
