brand,model,type,price_aed,year,kms,url
Mercedes-Benz,GLA,35 AMG 4Matic,249900,2024,2437,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/gla/2025/6/11/gla-35-4m-amg-gargash-warranty-and-service-2-931---86a14f80081f49dcb59526e5bef2a562/
Mercedes-Benz,G-Class,G 63 AMG,800000,2025,0,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/g-class/2025/8/26/2025-mercedes-g63amg-brand-new-korean-spec-2-706---10dc93a8bf834aa882116417268e9eec/
Mercedes-Benz,C-Class,C250,24000,2013,148000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2025/12/25/mercedes-c250-model-2013-excellent-conditi-2-736---0cfdcd2199a2454480b596739075a8e7/
Toyota,Corolla Cross,LE,60000,2024,65000,https://uae.dubizzle.com/motors/used-cars/toyota/corolla-cross/2025/12/25/aed-1250-monthly-corolla-cross-2024-gcc-sp-2-747---852e545eb4df490b976fc6813d3a062a/
Mercedes-Benz,E-Class,E 300 4matic,62000,2016,123000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2025/12/16/mercedes-benz-e300-2016-gcc-specs-full-opt-2-154---9fda77db0d824d9aaeea103cd6d4df80/
Mercedes-Benz,GLC,GLC 250 4MATIC,67000,2017,162000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/glc/2025/12/25/glc250-39-058---0ff082d31e9b4d02a2be41ca0ffd34e4/
Nissan,Versa,SV,39000,2023,53000,https://uae.dubizzle.com/motors/used-cars/nissan/versa/2025/12/25/aed-800-model-2023-american-specs-4cyl-2-999---d68e830856b74f098b6c490253f67b4c/
BMW,5-Series,520i,45000,2020,295000,https://uae.dubizzle.com/motors/used-cars/bmw/5-series/2025/12/25/aed-950-per-month-2020-bmw-520i-gcc-specs--2-812---6f176b001aa94b90b2e39e4ff1d7ae0f/
Mercedes-Benz,E-Class,E 350,31900,2011,125000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2025/12/23/2011-mercedes-e350-v6-fulloption-korean-sp-12-645---929c0daf9c344efebb65b806818b2825/
Mitsubishi,L200,Single Cab,44900,2021,141000,https://uae.dubizzle.com/motors/used-cars/mitsubishi/l200/2025/4/16/2021-mitsubishi-l200-i-4x2-i-single-cab-i--12-930---053d586237064557b4b20eab2f760aea/
Kia,Sportage,Other,41900,2020,184000,https://uae.dubizzle.com/motors/used-cars/kia/sportage/2025/12/18/2020-kia-sportag-4x4-gcc-24-ref938-12-247---ebc2137c5631459698e79fed24eb1406/
Toyota,Fortuner,GXR,49900,2014,171000,https://uae.dubizzle.com/motors/used-cars/toyota/fortuner/2025/12/18/2014-toyota-fortuner-gxr-40-v6-ref-945-12-708---85377bf31ddf43a08692d18ad15ffd80/
MG,GT,Other,54900,2025,10,https://uae.dubizzle.com/motors/used-cars/mg/gt/2025/11/25/mg-warranty-till-2031-200000-km-gcc-15-l-a-2-622---11518b9e93124725b8bb68fb2d65dbf2/
Toyota,Corolla Cross,Hybrid,92900,2024,10,https://uae.dubizzle.com/motors/used-cars/toyota/corolla-cross/2025/11/24/18l-hybrid-leather-sunroof-gcc-1-yr-warran-2-939---d2a5108155744db2a89568d5a8af50ce/
Porsche,Cayenne,GTS,539000,2025,9000,https://uae.dubizzle.com/motors/used-cars/porsche/cayenne/2025/12/25/2025-porsche-cayenne-i-gts-i-face-left-war-2-546---8fe5ad71913a40bb9e5003f8bd57ea08/
Mercedes-Benz,GLA,220,69900,2018,148000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/gla/2025/12/23/2018-mercedes-gla220-full-option-v4-20l-co-12-211---b60bc9b87aa34775bd3174c0707c1ac9/
Lexus,RX-Series,RX 350 F Sport,56900,2013,167000,https://uae.dubizzle.com/motors/used-cars/lexus/rx-series/2025/12/23/2013-lexus-rx350-v6-full-8speed-in-f-sport-12-653---bb4f9685dd5543069dc0481107bbb80b/
Honda,Accord,i-VTEC,41900,2015,173000,https://uae.dubizzle.com/motors/used-cars/honda/accord/2025/12/23/2015-honda-accord-i-vtec-full-option-v4-ko-12-309---5ba4c9bdb23f4a61a31e64ffb44ae784/
Kia,Picanto,EX,24900,2021,65000,https://uae.dubizzle.com/motors/used-cars/kia/picanto/2025/12/10/2021-kia-picanto-gcc-automatic-ref928-12-164---3491d4cba53147799372b1ea9d810855/
Mercedes-Benz,A-Class,A 220,70000,2022,37000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/a-class/2025/12/25/aed-1500-monthly-0-down-payment-2022-model-2-646---1702a79c8f1543c5a87a395b7f61f1e8/
Renault,Koleos,LE,39900,2022,103000,https://uae.dubizzle.com/motors/used-cars/renault/koleos/2025/3/11/2022-i-renault-koleos-i-25l-i-gcc-i-ref613-12-850---a1c1a9f3f03b4f17bfcb4a17c90b452c/
Toyota,Prado,Adventure,174900,2022,179900,https://uae.dubizzle.com/motors/used-cars/toyota/prado/2025/8/11/2022-toyota-prado-adventure-i-v6-i-40l-i-r-12-178---f8d265da27fe4730bf91d493f15e8d1e/
JAC,J7,Other,28900,2023,75000,https://uae.dubizzle.com/motors/used-cars/jac/j7/2025/3/2/2023-i-jac-j7-i-ref583-12-395---320a460218ed4ce89b15ee074f581944/
JAC,J7,Other,28900,2023,83000,https://uae.dubizzle.com/motors/used-cars/jac/j7/2025/3/2/2023-jac-j7-ref584-12-119---f415796423d147a590b43720b975aab8/
Toyota,Rush,EX,34900,2022,175000,https://uae.dubizzle.com/motors/used-cars/toyota/rush/2025/4/5/2022-i-toyota-rush-ex-i-van-i-ref633-12-112---89acb06f75894c2f9746e7e603183359/
Toyota,Hilux,SR5,108900,2025,31000,https://uae.dubizzle.com/motors/used-cars/toyota/hilux/2025/11/12/2025-toyota-hilux-4x4-manual-petrol-ref902-12-624---e997436675d744338db9879cba16bc19/
Toyota,Hilux,SR5,124900,2024,8000,https://uae.dubizzle.com/motors/used-cars/toyota/hilux/2025/12/22/2024-toyota-hilux-4x4-28-turbo-screen-came-12-878---ccfff71d09ca449abfa77c58a9d84722/
Kia,Sportage,Other,36900,2019,181000,https://uae.dubizzle.com/motors/used-cars/kia/sportage/2025/12/25/2019-kia-sportage-20l-i-ref606-12-489---c72a358c75d24807bf209c99d2b4bc81/
Peugeot,Expert,Other,49900,2023,144000,https://uae.dubizzle.com/motors/used-cars/peugeot/expert/2025/12/17/2023-peugeot-export-diesel-6-seaters-ref-9-12-377---af601d71406845819dddeea8cd7d7e0b/
Toyota,Hilux,SR5,82900,2020,143000,https://uae.dubizzle.com/motors/used-cars/toyota/hilux/2025/12/17/2020-toyota-hilux-4x4-full-automatic-gcc-s-12-533---c497f9ce53e5476f83b1e69d3602401d/
Toyota,Rush,EX,44900,2022,68000,https://uae.dubizzle.com/motors/used-cars/toyota/rush/2025/11/13/2022-i-toyota-rush-i-ex-7-seaters-i-ref-54-12-796---740c3e4a512340ed99941fa3adbd8728/
Mercedes-Benz,SLK-Class,SLK 350,21900,2006,97000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/slk-class/2025/12/17/2006-mercedes-benz-slk350-v6-two-seat-road-12-412---850fe586119c484ab93935809c916a13/
Mitsubishi,Canter,Other,64900,2020,121000,https://uae.dubizzle.com/motors/used-cars/mitsubishi/canter/2025/9/16/2020-mitsubishi-canter-14ft-manual-ref842-12-108---51be680e23df4818929d0abb7a336e39/
Toyota,Rav 4,Adventure,88900,2021,104000,https://uae.dubizzle.com/motors/used-cars/toyota/rav-4/2025/2/1/2021-toyota-rav4-adventure-ref557-12-234---6293724c54e24c2a9b1ae6138031b82f/
Toyota,Corolla,XLI,39900,2021,94000,https://uae.dubizzle.com/motors/used-cars/toyota/corolla/2025/11/11/2021-toyota-corolla-16-xli-gcc-ref33-12-675---6e85a4fb2e144521a233e9f451e091c0/
Suzuki,Ertiga,Other,24900,2022,250000,https://uae.dubizzle.com/motors/used-cars/suzuki/ertiga/2025/11/29/2022-suzuki-ertiga-automatic-gcc-v4-ref917-12-556---31dc3a5cc1de4852bf205e4307be4fb8/
Hyundai,Accent,Other,37900,2022,54000,https://uae.dubizzle.com/motors/used-cars/hyundai/accent/2025/12/10/2022-hyundai-accent-16l-gcc-ref927-12-203---42067b2308564016a74beb7b3c531171/
Mitsubishi,L200,Double Cab,41900,2022,183000,https://uae.dubizzle.com/motors/used-cars/mitsubishi/l200/2025/6/8/2022-mitsubishi-l200-diesel-i-4x2-manual-r-12-685---1f5d8d3151ed4b3399ecc7cc6136e6dc/
Mercedes-Benz,E-Class,E450,105000,2019,61000,https://uae.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2025/12/25/with-2230-aed-monthly-e450-convertible-201-2-865---351c17e7dba44bd1a973ff058a8455da/
Ford,Ranger,Raptor,290000,2024,0,https://uae.dubizzle.com/motors/used-cars/ford/ranger/2025/8/30/ranger-raptor-ez-pro-x-2-342---0722c5e47e8544978bc0301ea38f226c/
Ford,Everest,XLT,182000,2024,0,https://uae.dubizzle.com/motors/used-cars/ford/everest/2025/9/15/3300-aed-month-ford-everst-ez-pro-s-2-638---a992d90d284b4d0a9bc5ab288f33d291/
Nissan,Patrol Safari,Safari,260000,2024,0,https://uae.dubizzle.com/motors/used-cars/nissan/patrol-safari/2025/11/17/3900-aed-month-2024-nissan-patrol-safari-2-831---e193b97170124600b68b381a24b53633/
Chevrolet,Silverado,Other,312000,2025,0,https://uae.dubizzle.com/motors/used-cars/chevrolet/silverado/2025/11/15/4680-aedmonth-chevrolet-silverado-2500hd-z-2-290---80e81279c0e24e73b249708c71259dac/
Nissan,Patrol,Nismo,370000,2024,9000,https://uae.dubizzle.com/motors/used-cars/nissan/patrol/2024/7/19/2024-nissan-nismo-v8-gcc-deale-warranty-2-805---e95ad854f6a74a8c9751f654664ad2dc/
Toyota,Aurion,Limited,24000,2014,208000,https://uae.dubizzle.com/motors/used-cars/toyota/aurion/2025/8/25/2014-toyota-aurion-limited-v6-gcc-perfect--2-166---99a8732749b547cab6242bd1d8b7acd3/
Dodge,Charger,SRT 392,137000,2021,93000,https://uae.dubizzle.com/motors/used-cars/dodge/charger/2025/11/28/2021-dodge-charger-392-hlmi-skat-pack-gcc--2-020---33ce8c93898b47c791791aba30b0e299/
Land Rover,Defender,110 Carpathian Edition,495000,2025,21000,https://uae.dubizzle.com/motors/used-cars/land-rover/defender/2025/12/11/2025-defender-110-carpathian-edition-p525--2-046---38d01065e70b46d9baa574070cf3225d/
Porsche,Macan,S,110000,2016,38000,https://uae.dubizzle.com/motors/used-cars/porsche/macan/2025/12/11/2016-porsche-macan-s-gcc-dealer-warranty-f-2-461---57f11c02f26647c19f705a06a1ecbc28/
Nissan,Patrol Safari,Safari,219000,2024,9000,https://uae.dubizzle.com/motors/used-cars/nissan/patrol-safari/2025/11/21/2024-nissan-patrol-safari-mt-gcc-dealer-wa-2-964---54b57c150a384c3abd2717536c81a08a/
