title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Toyota Land Cruiser 200 Series Facelift 2,2019,"164,000 km","125,000 AED",https://auto.ae/ajman/sale/car/toyota/toyota-land-cruiser-200-series-facelift-2-2019/id/221300/,Trim other,White,Left-Hand Drive,"5.7 l, 381 hp, Petrol",SUV 5 dr.,GCC Specs
Toyota Land Cruiser 300 Series,2022,"59,000 km","220,000 AED",https://auto.ae/dubai/sale/car/toyota/toyota-land-cruiser-300-series-2022/id/220821/,Trim GXR,White,Left-Hand Drive,"3.4 l, 415 hp, Petrol",SUV 5 dr.,GCC Specs
Toyota FJ Cruiser,2020,"39,762 km","215,000 AED",https://auto.ae/dubai/sale/car/toyota/toyota-fj-cruiser-2020/id/222416/,Trim other,Blue,Left-Hand Drive,"4.0 l, 276 hp, Petrol",SUV 5 dr.,GCC Specs
Ford F-150 XIII Facelift,2017,"123,000 km","115,000 AED",https://auto.ae/sharjah/sale/car/ford/ford-f-150-xiii-facelift-2017/id/222893/,N/A,Black,Left-Hand Drive,"3.5 l, 375 hp, Petrol",Pickup double cab Super Crew,American Specs
"Mercedes-Benz E-Class 250 V (W213, S213, C238)",2021,"83,000 km","108,000 AED",https://auto.ae/sharjah/sale/car/mercedes-benz/mercedes-benz-e-class-v-w213-s213-c238-2021/id/222892/,N/A,Grey,Left-Hand Drive,"2.0 l, 211 hp, Petrol",Sedan,American Specs
Jeep Grand Cherokee IV (WK2) Facelift,2017,"139,000 km","48,000 AED",https://auto.ae/sharjah/sale/car/jeep/jeep-grand-cherokee-iv-wk2-facelift-2017/id/222891/,N/A,White,Left-Hand Drive,"3.6 l, 286 hp, Petrol",SUV 5 dr.,American Specs
Porsche Macan S I,2015,"134,000 km","56,000 AED",https://auto.ae/dubai/sale/car/porsche/porsche-macan-i-2015/id/222880/,Trim S,Black,Left-Hand Drive,"3.0 l, 340 hp, Petrol",SUV 5 dr.,GCC Specs
Kia Optima IV,2017,"123,000 km","33,000 AED",https://auto.ae/dubai/sale/car/kia/kia-optima-iv-2017/id/222886/,Trim GT,White,Left-Hand Drive,"2.0 l, 245 hp, Petrol",Sedan,GCC Specs
Hyundai Creta I,2020,"91,000 km","39,000 AED",https://auto.ae/sharjah/sale/car/hyundai/hyundai-creta-i-2020/id/222888/,N/A,White,Left-Hand Drive,"1.6 l, 123 hp, Petrol",SUV 5 dr.,GCC Specs
Chevrolet Impala X,2018,"123,000 km","45,000 AED",https://auto.ae/dubai/sale/car/chevrolet/chevrolet-impala-x-2018/id/222887/,N/A,Black,Left-Hand Drive,"3.6 l, 309 hp, Petrol",Sedan,GCC Specs
