title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Mercedes-Benz S-Class 500 4MATIC VII (W223),2022,"54,000 km","350,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-s-class-vii-w223-2022/id/209825/,N/A,White,Left-Hand Drive,"3.0 l, 435 hp, Petrol",Sedan,GCC Specs
Land Rover Range Rover Sport P400 MHEV III,2023,"46,000 km","359,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-sport-iii-2023/id/209792/,Trim Dynamic SE,Black,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr.,American Specs
BMW X5 M Competition III (F95),2020,"150,000 km","180,000 AED",https://auto.ae/dubai/sale/car/bmw/bmw-x5-m-iii-f95-2020/id/209803/,Trim X5 M Competition,Black,Left-Hand Drive,"4.4 l, 625 hp, Petrol",SUV 5 dr.,GCC Specs
Jeep Grand Cherokee IV (WK2) Facelift,2017,"140,000 km","45,000 AED",https://auto.ae/dubai/sale/car/jeep/jeep-grand-cherokee-iv-wk2-facelift-2017/id/209807/,Trim TrailHawk,Black,Left-Hand Drive,"3.6 l, 286 hp, Petrol",SUV 5 dr.,American Specs
Jetour T2,2024,0 km,"135,000 AED",https://auto.ae/dubai/sale/car/jetour/jetour-t2-2024/id/209805/,N/A,Black,Left-Hand Drive,"2.0 l, 245 hp, Petrol",SUV 5 dr.,Chinese Specs
Jetour T2,2025,0 km,"140,000 AED",https://auto.ae/dubai/sale/car/jetour/jetour-t2-2025/id/209804/,N/A,Black,Left-Hand Drive,"2.0 l, 245 hp, Petrol",SUV 5 dr.,GCC Specs
Rox 01,2025,10 km,"210,000 AED",https://auto.ae/dubai/sale/car/rox/rox-01-2025/id/209801/,N/A,Black,Left-Hand Drive,"1.5 l, 475 hp, Hybrid",SUV 5 dr.,GCC Specs
RAM 1500 Crew Cab TRX V,2022,"80,000 km","249,000 AED",https://auto.ae/dubai/sale/car/ram/ram-1500-v-2022/id/209800/,Trim TRX,Black,Left-Hand Drive,"6.2 l, 712 hp, Petrol",Pickup double cab Quad Cab,American Specs
Audi S8 IV (D5),2020,"29,000 km","259,000 AED",https://auto.ae/dubai/sale/car/audi/audi-s8-iv-d5-2020/id/209799/,N/A,Black,Left-Hand Drive,"4.0 l, 571 hp, Petrol",Sedan,GCC Specs
"BMW 4 Series M440i xDrive G22, G23, G26 Facelift",2025,"5,000 km","299,000 AED",https://auto.ae/dubai/sale/car/bmw/bmw-4-series-g22-g23-g26-facelift-2025/id/209797/,N/A,White,Left-Hand Drive,"3.0 l, 374 hp, Petrol",Liftback Gran Coupe,N/A
Land Rover Defender 130 II,2023,"60,000 km","319,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-defender-ii-2023/id/209796/,N/A,White,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr. 110,GCC Specs
Mercedes-Benz GLE AMG 63 AMG S II (V167),2021,"80,000 km","319,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-gle-amg-ii-v167-2021/id/209794/,N/A,White,Left-Hand Drive,"4.0 l, 612 hp, Petrol",SUV 5 dr.,GCC Specs
Mercedes-Benz G-Class AMG 63 AMG II (W463),2019,"185,000 km","400,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w463-2019/id/209791/,Trim AMG G 63,Green,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,GCC Specs
Bentley Continental GT III,2019,"90,000 km","419,000 AED",https://auto.ae/dubai/sale/car/bentley/bentley-continental-gt-iii-2019/id/209790/,N/A,Black,Left-Hand Drive,"6.0 l, 635 hp, Petrol",Coupe,GCC Specs
Mercedes-Benz G-Class AMG 63 AMG II (W463),2019,"102,000 km","459,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w463-2019/id/209788/,Trim AMG G 63,Silver,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,European Specs
