page,title,make,model,trim,year,kms_raw,price_raw,steering_side,regional_specs,location,url
1,Ford Transit Van,Ford,Transit,Van,2022,"138,604 km","49,900",N/A,N/A,"Ras Al Khor, Dubai",https://uae.dubizzle.com/motors/used-cars/ford/transit/2025/12/12/2022-gcc-cargo-van-high-roof-diesel-manual-2-676---9c70ae11ca9e467b8208f899d7dd418f/
1,Chevrolet Camaro SS,Chevrolet,Camaro,SS,2017,"52,000 km","79,000",N/A,N/A,"Al Reem Island, Abu Dhabi",https://uae.dubizzle.com/motors/used-cars/chevrolet/camaro/2025/12/9/camaro-ss-v8-62l-top-options-no-accidents--3-933---d7f307d39ea34b778544bb6dc1104a26/
1,Porsche Carrera / 911 Carrera S,Porsche,Carrera / 911,Carrera S,2024,"1,900 km","639,000",N/A,N/A,"Downtown Dubai, Dubai",https://uae.dubizzle.com/motors/used-cars/porsche/carrera/2025/12/18/porsche-911-carrera-s-aerokit-2024-special-2-214---9529ab99b6c64728ab87311c587e969d/
1,Nissan Altima SV,Nissan,Altima,SV,2017,"250,000 km","17,900",N/A,N/A,"Industrial Area, Sharjah",https://uae.dubizzle.com/motors/used-cars/nissan/altima/2025/10/28/2017-nissan-altima-sv-100-clean-title-acci-12-461---a29fb3f01dbb4a0e9b0274be91b23293/
1,Nissan Altima S,Nissan,Altima,S,2013,"198,000 km","12,500",N/A,N/A,"Industrial Area, Sharjah",https://uae.dubizzle.com/motors/used-cars/nissan/altima/2025/7/27/2013-s-100-12-429---71771e30801b4414850801021c271c72/
1,Land Rover Range Rover HSE,Land Rover,Range Rover,HSE,2025,0 km,"590,000",N/A,N/A,"Ras Al Khor, Dubai",https://uae.dubizzle.com/motors/used-cars/land-rover/range-rover/2025/12/18/range-rover-vogue-v6-p400-2025-fully-loade-2-862---0b8a10b81d194554a839e317cea49dde/
1,Chevrolet Trailblazer LT,Chevrolet,Trailblazer,LT,2004,"100,095 km","14,500",N/A,N/A,"Al Nahyan, Abu Dhabi",https://uae.dubizzle.com/motors/used-cars/chevrolet/trailblazer/2025/12/9/04-chevrolet-trailblazer-ext-lt-3-545---f37b662598514e10b720718d6e21e79b/
1,Ford Mustang Ecoboost,Ford,Mustang,Ecoboost,2024,"24,956 km","95,000",N/A,N/A,"Industrial Area, Sharjah",https://uae.dubizzle.com/motors/used-cars/ford/mustang/2025/12/3/2024-ford-mustang-ecoboost-fastback-powerf-12-294---4db426331362454ebc54e92045d75d83/
1,Mercedes-Benz C-Class C200 Coupe,Mercedes-Benz,C-Class,C200 Coupe,2019,"110,000 km","109,950",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2025/12/4/0-downpayment-aed-1509-pm-warranty-and-ser-2-739---b0de27d6cb7f480c976bf375d84f7028/
1,Mercedes-Benz GLE Coupe GLE 53 AMG 4Matic Plus,Mercedes-Benz,GLE Coupe,GLE 53 AMG 4Matic Plus,2021,"86,350 km","269,950",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/gle-coupe/2025/11/6/0-downpayment-aed-4024-pm-gargash-warranty-2-544---3acbe110e8594ea6b1fcca208a12045e/
1,Mercedes-Benz CLA CLA250 4MATIC,Mercedes-Benz,CLA,CLA250 4MATIC,2025,"3,988 km","199,950",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/cla/2025/11/17/0-downpayment-aed-2659-pm-emc-warranty-2-438---2aa255665461447ca3cdfee9c5403d8d/
1,Mercedes-Benz CLE-Class CLE200,Mercedes-Benz,CLE-Class,CLE200,2026,14 km,"299,950",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/cle-class/2025/12/8/emc-mercedes-benz-warranty-until-2030-aed--2-822---8cd84b8777024fcabbbb2a50c92ee2d6/
1,Mercedes-Benz GLS-Class GLS 450,Mercedes-Benz,GLS-Class,GLS 450,2020,"87,855 km","219,950",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/gls-class/2025/12/8/0-downpayment-aed-3306-pm-7-seat-warranty--2-444---5c23109514b34dfd850905f7856f12a7/
1,Mercedes-Benz C-Class C63 S AMG,Mercedes-Benz,C-Class,C63 S AMG,2017,"96,990 km","189,950",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2025/12/11/0-downpayment-aed-3364-pm-warranty-and-ser-2-281---9c454fc89d6f41f5a61c7517537081cb/
1,Mercedes-Benz GLE Coupe GLE 43 AMG,Mercedes-Benz,GLE Coupe,GLE 43 AMG,2017,"112,316 km","134,950",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/gle-coupe/2025/12/11/gle43-amg-coupe-0-downpayment-aed-1940-pm--2-433---b7d0ade57676418a812d3852b17d9496/
1,Mercedes-Benz CLE-Class CLE200,Mercedes-Benz,CLE-Class,CLE200,2026,0 km,"259,999",N/A,N/A,"Ras Al Khor, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/cle-class/2025/12/18/2026-mercedes-benz-cle-200-amg-coupe-eq-bo-2-728---75d41dff01444748aec262567c3e2cf3/
1,Hyundai Accent GL,Hyundai,Accent,GL,2017,"169,328 km","18,500",N/A,N/A,"Al Rashidiya, Dubai",https://uae.dubizzle.com/motors/used-cars/hyundai/accent/2025/12/2/hyundai-accent-2017-2-064---b2d8bc859d0b488181f33953e007e27a/
1,BMW X2 sDrive 20i,BMW,X2,sDrive 20i,2020,"110,000 km","59,000",N/A,N/A,"Ras Al Khor, Dubai",https://uae.dubizzle.com/motors/used-cars/bmw/x2/2025/12/18/bmw-x2-2020-gcc-2-783---969fa9b4a3ae46c0879bb8d667e14c3b/
1,Suzuki Ciaz GLX,Suzuki,Ciaz,GLX,2023,"51,000 km","32,000",N/A,N/A,"Jumeirah Village Circle (JVC), Dubai",https://uae.dubizzle.com/motors/used-cars/suzuki/ciaz/2025/12/18/suzuki-ciaz-15-glx-2023-gcc-well-maintaine-2-296---cda8dd0797a143c28dfaab4833a07bdc/
1,BMW 3-Series 330i,BMW,3-Series,330i,2021,"86,016 km","120,000",N/A,N/A,"Ras Al Khor, Dubai",https://uae.dubizzle.com/motors/used-cars/bmw/3-series/2025/11/10/2021-bmw-330i-m-sport-alcantara-low-milage-2-939---13826ae20e6d43c991480ea520dd84da/
1,Zeekr Other Other,Zeekr,Other,Other,2025,15 km,"385,000",N/A,N/A,"Sheikh Zayed Road, Dubai",https://uae.dubizzle.com/motors/used-cars/zeekr/other/2025/11/7/brand-new-zeekr-9x-available-2-295---00e99954f93240e896ef45474a748826/
1,Mercedes-Benz GLE Coupe GLE 53 AMG 4Matic Plus,Mercedes-Benz,GLE Coupe,GLE 53 AMG 4Matic Plus,2021,"55,000 km","289,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/gle-coupe/2025/10/11/4778-aed-pm-gle-53-amg-30l-turbo-mild-hybr-2-421---f3eea283716d4566b8d32acfa01136aa/
1,Mercedes-Benz GLE-Class GLE 450 4Matic,Mercedes-Benz,GLE-Class,GLE 450 4Matic,2021,"68,900 km","219,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/gle-class/2025/12/8/0-down-payment-2021-mercedes-gle-450-4mati-2-947---2cf0c0ebee474f66921a070adf9841cc/
1,Jetour T1 Luxury 4WD,Jetour,T1,Luxury 4WD,2026,"6,666 km","129,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/jetour/t1/2025/11/19/emi-aed-2037-pm-t1-luxury-4wd-20l-turbo-25-2-947---3198e091c0164da2a7561c1722b5f8db/
1,Nissan X-Trail SL,Nissan,X-Trail,SL,2024,"16,243 km","124,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/nissan/x-trail/2025/11/1/3192-aed-pm-x-trail-sl-full-option-agency--2-932---548197f8de2b433aa73c54f37fdef4db/
1,Volkswagen Golf GTI P2,Volkswagen,Golf,GTI P2,2023,"47,335 km","129,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/volkswagen/golf/2025/12/9/0-down-payment-gti-p2-full-option-emi-aed--2-455---e37fc1896dc8436397d08f465befe705/
2,DongFeng AX7 E2,DongFeng,AX7,E2,2025,0 km,"76,000",N/A,N/A,"Deira, Dubai",https://uae.dubizzle.com/motors/used-cars/dongfeng/ax7/2025/12/9/brand-new-dongfeng-ax7-emi-aed-1190-warran-2-041---0ec736c9f6b54cce8a47b851e817c65a/
2,Ford Territory Dark Edition,Ford,Territory,Dark Edition,2025,"10,400 km","129,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/ford/territory/2025/12/10/0-down-payment-2025-ford-territory-titaniu-2-004---991d40ef9b09409c868edbb9107c466a/
2,GAC EMPOW GL,GAC,EMPOW,GL,2024,"7,000 km","74,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/gac/empow/2025/11/15/1175-aed-pm-gac-empow-s-gl-15t-174-hp-gcc--2-170---74af4ecfb4a94f2ab3874dfe5fd376d4/
2,GMC Yukon Denali,GMC,Yukon,Denali,2024,"30,000 km","289,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/gmc/yukon/2025/11/14/4543-aed-pm-yukon-denali-62l-v8-captain-se-2-981---4cca5de19fa043ee8ded1ab6ad9bc85c/
2,BMW X4 X4M,BMW,X4,X4M,2025,0 km,"259,999",N/A,N/A,"Ras Al Khor, Dubai",https://uae.dubizzle.com/motors/used-cars/bmw/x4/2025/12/18/2025-bmw-x4-xdrive-30i-m-20t-gcc-0km-with--2-338---95ecb9496ad04b04a2619347fc76cd69/
2,Mercedes-Benz GLC Coupe GLC 200,Mercedes-Benz,GLC Coupe,GLC 200,2026,0 km,"299,000",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/glc-coupe/2025/12/18/new-arrival-mercedes-benz-glc-200-coupe-20-2-865---5d54416319d943b2a46db79ceb5bce8a/
2,Toyota FJ Cruiser GXR,Toyota,FJ Cruiser,GXR,2021,"42,500 km","134,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/toyota/fj-cruiser/2025/12/18/0-down-payment-2021-toyota-fj-cruiser-gxr--2-379---ed72eb2a35de454db87e5ba3c3af46f2/
2,Infiniti QX60 Luxe,Infiniti,QX60,Luxe,2023,"15,000 km","159,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/infiniti/qx60/2025/12/18/0-down-payment-2023-infiniti-qx60-luxe-emi-2-429---55b6ed00b4124bd49ddd7b3b64adcd81/
2,Porsche Carrera / 911 Carrera,Porsche,Carrera / 911,Carrera,2025,"6,675 km","649,990",N/A,N/A,"Green Community, Dubai",https://uae.dubizzle.com/motors/used-cars/porsche/carrera/2025/12/9/0-down-payment-2025-porsche-911-carrera-em-2-648---39e2c1ae6b73488382479ce39ddaa715/
2,Mercedes-Benz E-Class E 300,Mercedes-Benz,E-Class,E 300,2026,0 km,"329,000",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2025/11/11/mercedes-benz-e-300-2026-gcc-0km-agency-wa-2-517---7fea61897c024358840a8a327812f82f/
2,Xiaomi YU7 Max,Xiaomi,YU7,Max,2025,0 km,"260,000",N/A,N/A,"Ras Al Khor, Dubai",https://uae.dubizzle.com/motors/used-cars/xiaomi/yu7/2025/12/3/xiaomi-yu7-max-evs-warranty-2-746---7f235e5b5396412a86c307f6d9a12284/
2,Toyota Supra Other,Toyota,Supra,Other,1987,"150,000 km","52,000",N/A,N/A,Dubai,https://uae.dubizzle.com/motors/used-cars/toyota/supra/2025/11/25/clean-supra-mk3-with-special-plate-number-2-077---3adcca6c5ef9405e9a1a367756290d5a/
2,Toyota Rush EX,Toyota,Rush,EX,2022,"60,200 km","42,900",N/A,N/A,"Saif Zone (Sharjah International Airport Free Zone), Sharjah",https://uae.dubizzle.com/motors/used-cars/toyota/rush/2025/12/18/toyota-rush-ex-12-928---097c93f556744ebe89d37d257ab4ec96/
2,Mercedes-Benz E-Class E 200,Mercedes-Benz,E-Class,E 200,2026,0 km,"254,999",N/A,N/A,"Ras Al Khor, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2025/12/18/2026-mercedes-benz-e-200-amg-eq-boost-20l--2-375---568595a335ab4862b965a9458d6e8141/
2,BMW X6 Xdrive35i Exclusive,BMW,X6,Xdrive35i Exclusive,2017,"93,000 km","99,000",N/A,N/A,"Mirdif, Dubai",https://uae.dubizzle.com/motors/used-cars/bmw/x6/2025/12/18/unique-golden-bmw-x6-v6-high-options-gcc-s-2-203---28197d4f4d6743319b4c361eb3ca5cdd/
2,Mercedes-Benz E-Class E 200,Mercedes-Benz,E-Class,E 200,2026,0 km,"279,000",N/A,N/A,"Al Quoz, Dubai",https://uae.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2025/9/29/summer-offer-mercedes-benz-e-300-2025-gcc--2-562---41732973509041c1853cc1b8126c447a/
2,Porsche Carrera / 911 GT3,Porsche,Carrera / 911,GT3,2022,"44,150 km","709,000",N/A,N/A,"Ras Al Khor, Dubai",https://uae.dubizzle.com/motors/used-cars/porsche/carrera/2025/12/18/2022-porsche-911-gt3-april-2026-porsche-wa-2-012---50a34a06542b4fc6bf04255d8398c598/
